Map,Metabolism,Pathway,KOs
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00001
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00002
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00016
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00114
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00121
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00128
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00129
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00131
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00134
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00138
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00149
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00150
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00161
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00162
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00163
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00169
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00170
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00171
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00172
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00174
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00175
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00382
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00627
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00844
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00845
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00850
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00873
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00886
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00895
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00918
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00927
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K01084
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K01085
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K01086
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K01222
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K01223
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K01568
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K01596
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K01610
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K01622
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K01623
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K01624
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K01689
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K01785
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K01792
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K01803
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K01810
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K01834
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K01835
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K01837
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K01895
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K01905
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K01913
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K02446
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K02752
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K02753
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K02777
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K02778
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K02779
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K02790
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K02791
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K03103
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K03737
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K03841
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K04022
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K04041
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K04072
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K06859
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K08074
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K10705
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K11389
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K11532
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K11645
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K12406
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K12407
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K13810
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K13951
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K13952
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K13953
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K13954
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K13980
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K14028
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K14029
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K14085
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K15633
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K15634
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K15635
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K15778
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K15779
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K15916
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K16305
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K16306
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K16370
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K18857
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K18978
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K20116
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K20117
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K20118
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K20866
