phrog_id	phrog	annot	category
1	phrog_1	integrase	integration and excision
2	phrog_2	terminase large subunit	head and packaging
3	phrog_3	transcriptional repressor	transcription regulation
4	phrog_4	transcriptional repressor	transcription regulation
5	phrog_5	tail completion or Neck1 protein	connector
6	phrog_6	baseplate wedge subunit	tail
7	phrog_7	endolysin	lysis
8	phrog_8	transcriptional regulator	transcription regulation
9	phrog_9	terminase large subunit	head and packaging
10	phrog_10	major head protein	head and packaging
11	phrog_11	baseplate spike	tail
12	phrog_12	portal protein	head and packaging
13	phrog_13	Rz-like spanin	lysis
14	phrog_14	minor tail protein	tail
15	phrog_15	terminase large subunit	head and packaging
16	phrog_16	DNA helicase	DNA, RNA and nucleotide metabolism
17	phrog_17	DNA polymerase	DNA, RNA and nucleotide metabolism
18	phrog_18	minor tail protein	tail
19	phrog_19	DnaB-like replicative helicase	DNA, RNA and nucleotide metabolism
20	phrog_20	holin	lysis
21	phrog_21	portal protein	head and packaging
22	phrog_22	thioredoxin domain	DNA, RNA and nucleotide metabolism
23	phrog_23	tail sheath	tail
24	phrog_24	tail length tape measure protein	tail
25	phrog_25	head closure Hc1	connector
26	phrog_26	tail completion or Neck1 protein	connector
27	phrog_27	tail completion or Neck1 protein	connector
28	phrog_28	tail length tape measure protein	tail
29	phrog_29	major head protein	head and packaging
30	phrog_30	minor tail protein	tail
31	phrog_31	central tail fiber J	tail
32	phrog_32	tail assembly protein	tail
33	phrog_33	distal tail protein Dit	tail
34	phrog_34	RusA-like Holliday junction resolvase	DNA, RNA and nucleotide metabolism
35	phrog_35	transcriptional repressor	transcription regulation
36	phrog_36	transcriptional regulator	transcription regulation
37	phrog_37	tail terminator	connector
38	phrog_38	terminase large subunit	head and packaging
39	phrog_39	tail assembly protein	tail
40	phrog_40	head-tail adaptor Ad1	connector
41	phrog_41	major tail protein	tail
42	phrog_42	minor tail protein	tail
43	phrog_43	baseplate wedge subunit	tail
44	phrog_44	single strand DNA binding protein	DNA, RNA and nucleotide metabolism
45	phrog_45	tail tube	tail
46	phrog_46	baseplate hub	tail
47	phrog_47	DNA primase	DNA, RNA and nucleotide metabolism
48	phrog_48	tail protein	tail
49	phrog_49	head decoration	head and packaging
50	phrog_50	DnaC-like helicase loader	DNA, RNA and nucleotide metabolism
51	phrog_51	terminase small subunit	head and packaging
52	phrog_52	tail protein	tail
53	phrog_53	head maturation protease	head and packaging
54	phrog_54	DksA-like zinc-finger protein	other
55	phrog_55	head closure	connector
56	phrog_56	DNA methyltransferase	other
57	phrog_57	terminase small subunit	head and packaging
58	phrog_58	tail length tape measure protein	tail
59	phrog_59	HNH endonuclease	DNA, RNA and nucleotide metabolism
60	phrog_60	NA	unknown function
61	phrog_61	2OG-Fe(II) oxygenase	moron, auxiliary metabolic gene and host takeover
62	phrog_62	DNA helicase	DNA, RNA and nucleotide metabolism
63	phrog_63	anti-repressor Ant	transcription regulation
64	phrog_64	portal protein	head and packaging
65	phrog_65	tail terminator	connector
66	phrog_66	excisionase and transcriptional regulator	integration and excision
67	phrog_67	DNA methyltransferase	other
68	phrog_68	portal protein	head and packaging
69	phrog_69	exonuclease	DNA, RNA and nucleotide metabolism
70	phrog_70	major head protein	head and packaging
71	phrog_71	head-tail adaptor Ad1	connector
72	phrog_72	NinB/ Orf homologous recombination mediator	DNA, RNA and nucleotide metabolism
73	phrog_73	head scaffolding protein	head and packaging
74	phrog_74	terminase small subunit	head and packaging
75	phrog_75	head-tail adaptor Ad1	connector
76	phrog_76	tail protein	tail
77	phrog_77	SbcC-like subunit of palindrome specific endonuclease	DNA, RNA and nucleotide metabolism
78	phrog_78	tail terminator	connector
79	phrog_79	anti-termination protein Q-like	transcription regulation
80	phrog_80	head maturation protease	head and packaging
81	phrog_81	2OG-Fe(II) oxygenase	moron, auxiliary metabolic gene and host takeover
82	phrog_82	head closure Hc1	connector
83	phrog_83	terminase small subunit	head and packaging
84	phrog_84	ribonucleoside-diphosphate reductase large subunit	DNA, RNA and nucleotide metabolism
85	phrog_85	thymidylate synthase	DNA, RNA and nucleotide metabolism
86	phrog_86	ribonucleoside diphosphate reductase small subunit	DNA, RNA and nucleotide metabolism
87	phrog_87	metallo-protease	other
88	phrog_88	major tail protein	tail
89	phrog_89	Rz-like spanin	lysis
90	phrog_90	endolysin	lysis
91	phrog_91	nicking at origin of replication	DNA, RNA and nucleotide metabolism
92	phrog_92	DNA packaging chaperone FI	head and packaging
93	phrog_93	endonuclease	DNA, RNA and nucleotide metabolism
94	phrog_94	head maturation protease	head and packaging
95	phrog_95	integrase	integration and excision
96	phrog_96	HNH endonuclease	DNA, RNA and nucleotide metabolism
97	phrog_97	UvsX-like recombinase	other
98	phrog_98	NA	unknown function
99	phrog_99	HNH endonuclease	DNA, RNA and nucleotide metabolism
100	phrog_100	SbcD-like subunit of palindrome specific endonuclease	DNA, RNA and nucleotide metabolism
101	phrog_101	CII-like transcriptional activator	transcription regulation
102	phrog_102	endolysin	lysis
103	phrog_103	tail protein	tail
104	phrog_104	portal protein	head and packaging
105	phrog_105	tail fiber assembly	tail
106	phrog_106	minor tail protein	tail
107	phrog_107	exonuclease	DNA, RNA and nucleotide metabolism
108	phrog_108	Lom outer membrane protein	other
109	phrog_109	P-like helicase loader	DNA, RNA and nucleotide metabolism
110	phrog_110	minor tail protein	tail
111	phrog_111	DNA methyltransferase	other
112	phrog_112	Gp2.5-like ssDNA binding protein and ssDNA annealing protein	DNA, RNA and nucleotide metabolism
113	phrog_113	portal protein	head and packaging
114	phrog_114	ATP-dependent DNA ligase	DNA, RNA and nucleotide metabolism
115	phrog_115	minor head protein	head and packaging
116	phrog_116	DNA methyltransferase	other
117	phrog_117	major tail protein	tail
118	phrog_118	head-tail adaptor	connector
119	phrog_119	HNH endonuclease	DNA, RNA and nucleotide metabolism
120	phrog_120	baseplate wedge subunit	tail
121	phrog_121	NA	unknown function
122	phrog_122	head decoration	head and packaging
123	phrog_123	tail terminator	connector
124	phrog_124	Sak4-like ssDNA annealing protein	DNA, RNA and nucleotide metabolism
125	phrog_125	DNA invertase	DNA, RNA and nucleotide metabolism
126	phrog_126	holin/anti-holin	lysis
127	phrog_127	anti-termination protein Q-like	transcription regulation
128	phrog_128	NA	unknown function
129	phrog_129	transcriptional regulator	transcription regulation
130	phrog_130	anti-repressor Ant	transcription regulation
131	phrog_131	HNH endonuclease	DNA, RNA and nucleotide metabolism
132	phrog_132	head-tail adaptor	connector
