Sample,Site,Treatment,Plate_Well,Sample_Weight_mg,%N,%C
CRr1C,Crocach,NAT,A1,10.17,1.760035038,47.24882889
LABRr1B,Langwell,NAT,A2,10.69,1.284094691,44.34336853
SEr2D,Stean,REST,A3,11.62,1.121105909,46.44328308
SEr2E,Stean,REST,A4,12.24,1.006352901,45.62141037
LASYr2F,Langwell,REST,A5,12.56,1.441236258,45.89326859
CRr2D,Crocach,REST,A6,10.6,1.358691812,53.1672554
CRr2E,Crocach,REST,A7,12.45,1.958444476,49.32398224
LABRr1C,Langwell,NAT,A8,13.16,1.781040907,47.69652176
CRr2F,Crocach,REST,A9,10.42,2.169645786,49.88054276
BOr3G,Bowness,DAM,A10,11.31,1.71341157,46.6493187
CRr1A,Crocach,NAT,A11,11.77,2.021406412,47.89911652
MGr2E,Migneint,REST,B1,11.79,1.983733058,48.84854507
BOr1C,Bowness,NAT,B2,14.83,1.358330965,46.29144669
MHr1A,Moor_House,NAT,B3,11.4,1.337292671,47.97346878
BAr2D,Balmoral,REST,B4,10.22,1.121181965,51.12537766
LASCr2E,Langwell,REST,B5,12.2,1.06159246,46.2695694
LAWAr2F,Langwell,REST,B6,13.32,1.529938936,46.6723938
LASAr3G,Langwell,DAM,B7,11.86,1.390716553,46.83959961
BOr3H,Bowness,DAM,B8,11.89,1.79789412,45.12645721
BOr1A,Bowness,NAT,B9,11.21,1.435831785,47.23616791
BAr1A,Balmoral,NAT,B10,12.16,1.170101881,46.27535248
SEr3H,Stean,DAM,C1,11.33,0.91109246,49.64233017
BAr3G,Balmoral,DAM,C2,10.42,1.48449719,42.35861969
BAr1B,Balmoral,NAT,C3,13.67,1.170600295,46.42555618
BAr1C,Balmoral,NAT,C4,14.54,1.247442126,49.78673935
LASAr3H,Langwell,DAM,C5,13.72,1.969210625,50.28052902
BOr2D,Bowness,REST,C6,14.52,1.60161674,49.29036713
LASYr2E,Langwell,REST,C7,12.48,1.672199845,48.03182602
MHr2F,Moor_House,REST,C8,10.51,1.499371648,48.643013
BAr2E,Balmoral,REST,C9,10.76,1.540253639,52.07274246
LASCr2F,Langwell,REST,C10,10.86,1.266359448,51.38515472
BOr2E,Bowness,REST,C11,12.42,1.738119721,47.98550797
MGr1B,Migneint,NAT,D1,13.32,2.438352346,50.8479805
BAr2F,Balmoral,REST,D2,12.67,1.518935919,51.15367889
MHr1C,Moor_House,NAT,D3,10.66,1.393555522,49.35647964
BAr3I,Balmoral,DAM,D4,13.18,1.421252012,47.0256424
BOr2F,Bowness,REST,D5,10.15,1.677931309,49.52766418
SEr3G,Stean,DAM,D6,11.06,1.150385976,52.86704254
MHr3G,Moor_House,DAM,D7,11.14,1.541116357,49.8531723
MHr2D,Moor_House,REST,D8,11.2,1.761024594,50.64264297
MHr3H,Moor_House,DAM,D9,10.26,1.583269,50.68416214
MGr2F,Migneint,REST,D10,9.92,2.31625843,51.8939743
MHr2E,Moor_House,REST,D11,12.72,1.994382143,50.98797989
CRr3G,Crocach,DAM,E1,11.1,1.505045176,51.33075333
MHr1B,Moor_House,NAT,E2,10.64,1.552685142,49.47583771
SEr3I,Stean,DAM,E3,10.55,1.363786459,51.86970901
MGr1A,Migneint,NAT,E4,10.2,1.8755337,49.51977158
LASYr2D,Langwell,REST,E5,11.95,1.766113758,50.80509567
LAWAr2E,Langwell,REST,E6,10.6,1.784813285,50.25430298
MGr3G,Migneint,DAM,E7,13.4,1.766440988,50.16781616
BOr3I,Bowness,DAM,E8,11.93,2.243760824,49.97746658
LAWAr2D,Langwell,REST,E9,13.04,1.59757328,51.38693619
BAr3H,Balmoral,DAM,E10,10.7,1.809515715,50.73779297
LABRr1A,Langwell,NAT,E11,10.13,1.785549164,49.90676498
LASAr3I,Langwell,DAM,F1,11.36,1.704640269,45.57399368
MGr3H,Migneint,DAM,F2,12.84,1.915001392,47.01844788
MGr1C,Migneint,NAT,F3,13.19,2.182231903,43.88880157
CRr3H,Crocach,DAM,F4,12.25,1.627395868,46.77607346
MHr3I,Moor_House,DAM,F5,10.31,1.753736734,47.86358261
SEr2F,Stean,REST,F6,9.9,1.245823503,45.01653671
CRr3I,Crocach,DAM,F7,10.94,1.711630702,43.69638824
LASCr2D,Langwell,REST,F8,10.52,0.972393692,41.44368362
MGr3I,Migneint,DAM,F9,10.63,2.010072231,49.97534561
MGr2D,Migneint,REST,F10,13.17,1.966560602,45.53866577
CRr1B,Crocach,NAT,F11,11.87,1.82973969,49.00603867
BOr1B,Bowness,NAT,G1,10.73,1.557888627,48.25643921
