"","SampleID","site","treatment","TC","TN","O2_avg","ph","conductivity","percent_moisture"
"1","CRr1C","Crocach","NAT",1.760035038,47.24882889,5.7825,4.13,25.9,89.1860270767174
"2","LABRr1B","Langwell","NAT",1.284094691,44.34336853,NA,4.02,23,91.8122198423389
"3","SEr2D","Stean","REST",1.121105909,46.44328308,NA,3.86,39.7,91.9185372488521
"4","SEr2E","Stean","REST",1.006352901,45.62141037,NA,3.96,32.2,90.9368675846196
"5","LASYr2F","Langwell","REST",1.441236258,45.89326859,NA,3.85,37.2,88.3100282759422
"6","CRr2D","Crocach","REST",1.358691812,53.1672554,4.99,4.03,35.9,81.0668498168498
"7","CRr2E","Crocach","REST",1.958444476,49.32398224,7.184,4.02,41.8,83.3472669178529
"8","LABRr1C","Langwell","NAT",1.781040907,47.69652176,6.8445,3.99,22.7,88.5664398819917
"9","CRr2F","Crocach","REST",2.169645786,49.88054276,7.5285,4.1,33.5,82.4070963808955
"10","BOr3G","Bowness","DAM",1.71341157,46.6493187,9.889,3.6,35.1,80.0266507063566
"11","CRr1A","Crocach","NAT",2.021406412,47.89911652,6.276,3.99,46.2,85.2849400558384
"12","MGr2E","Migneint","REST",1.983733058,48.84854507,3.2345,3.91,48.6,87.6656007309274
"13","BOr1C","Bowness","NAT",1.358330965,46.29144669,6.0255,3.69,44.9,83.0757507203582
"14","MHr1A","Moor_House","NAT",1.337292671,47.97346878,10.5,3.75,54.1,88.6083938150836
"15","BAr2D","Balmoral","REST",1.121181965,51.12537766,9.2875,3.71,20.9,85.7110895667089
"16","LASCr2E","Langwell","REST",1.06159246,46.2695694,8.546,NA,NA,90.100148997567
"17","LAWAr2F","Langwell","REST",1.529938936,46.6723938,9.174,NA,NA,86.2789705673255
"18","LASAr3G","Langwell","DAM",1.390716553,46.83959961,8.545,3.78,55.6,87.6080371903119
"19","BOr3H","Bowness","DAM",1.79789412,45.12645721,9.846,3.59,42.4,77.9081190407397
"20","BOr1A","Bowness","NAT",1.435831785,47.23616791,6.98,3.62,41.1,88.1993124079118
"21","BAr1A","Balmoral","NAT",1.170101881,46.27535248,9.874,3.73,46.7,84.0339819128528
"22","SEr3H","Stean","DAM",0.91109246,49.64233017,9.726,3.75,44.5,89.0595009596929
"23","BAr3G","Balmoral","DAM",1.48449719,42.35861969,9.4475,3.6,35.1,74.3387645943048
"24","BAr1B","Balmoral","NAT",1.170600295,46.42555618,8.8665,3.8,28.7,85.8169477991816
"25","BAr1C","Balmoral","NAT",1.247442126,49.78673935,7.0405,3.91,21.9,89.6146441279345
