Host,Cluster,order,treatment,MeanZS,Title,Cluster.size,site
BAr1A1B1C__bin_100,1,15,DAM,-0.8751117143814331,Natural-abundant,85,Balmoral
BAr1A1B1C__bin_100,1,15,NAT,0.8647945394335886,Natural-abundant,85,Balmoral
BAr1A1B1C__bin_100,1,15,REST,0.010317174947844713,Natural-abundant,85,Balmoral
BAr1A1B1C__bin_103,1,69,DAM,-0.37579976879093546,Natural-abundant,85,Balmoral
BAr1A1B1C__bin_103,1,69,NAT,0.7515995375818708,Natural-abundant,85,Balmoral
BAr1A1B1C__bin_103,1,69,REST,-0.37579976879093546,Natural-abundant,85,Balmoral
BAr1A1B1C__bin_104,1,47,DAM,-0.7013778504851185,Natural-abundant,85,Balmoral
BAr1A1B1C__bin_104,1,47,NAT,1.1409908114917313,Natural-abundant,85,Balmoral
BAr1A1B1C__bin_104,1,47,REST,-0.43961296100661257,Natural-abundant,85,Balmoral
BAr1A1B1C__bin_108,1,60,DAM,-0.17154008474225163,Natural-abundant,85,Balmoral
BAr1A1B1C__bin_108,1,60,NAT,0.7260915111906179,Natural-abundant,85,Balmoral
BAr1A1B1C__bin_108,1,60,REST,-0.5545514264483661,Natural-abundant,85,Balmoral
BAr1A1B1C__bin_116,1,83,DAM,-0.6104244570730851,Natural-abundant,85,Balmoral
BAr1A1B1C__bin_116,1,83,NAT,1.0527479935594746,Natural-abundant,85,Balmoral
BAr1A1B1C__bin_116,1,83,REST,-0.4423235364863896,Natural-abundant,85,Balmoral
BAr1A1B1C__bin_118,1,19,DAM,-0.6771207901425329,Natural-abundant,85,Balmoral
BAr1A1B1C__bin_118,1,19,NAT,0.7987270632935359,Natural-abundant,85,Balmoral
BAr1A1B1C__bin_118,1,19,REST,-0.12160627315100322,Natural-abundant,85,Balmoral
BAr1A1B1C__bin_12,1,63,DAM,-0.43764479221287683,Natural-abundant,85,Balmoral
BAr1A1B1C__bin_12,1,63,NAT,0.8752895844257538,Natural-abundant,85,Balmoral
BAr1A1B1C__bin_12,1,63,REST,-0.43764479221287683,Natural-abundant,85,Balmoral
BAr1A1B1C__bin_122,1,57,DAM,-0.6204574627569474,Natural-abundant,85,Balmoral
BAr1A1B1C__bin_122,1,57,NAT,1.1607802847651107,Natural-abundant,85,Balmoral
BAr1A1B1C__bin_122,1,57,REST,-0.5403228220081633,Natural-abundant,85,Balmoral
BAr1A1B1C__bin_124,1,62,DAM,-0.44016682626027637,Natural-abundant,85,Balmoral
BAr1A1B1C__bin_124,1,62,NAT,0.8803336525205525,Natural-abundant,85,Balmoral
BAr1A1B1C__bin_124,1,62,REST,-0.44016682626027637,Natural-abundant,85,Balmoral
BAr1A1B1C__bin_127,1,84,DAM,-0.551849614544626,Natural-abundant,85,Balmoral
BAr1A1B1C__bin_127,1,84,NAT,0.9592766909386985,Natural-abundant,85,Balmoral
BAr1A1B1C__bin_127,1,84,REST,-0.4074270763940726,Natural-abundant,85,Balmoral
BAr1A1B1C__bin_138,1,76,DAM,-0.5228737532093506,Natural-abundant,85,Balmoral
BAr1A1B1C__bin_138,1,76,NAT,1.0457475064187012,Natural-abundant,85,Balmoral
BAr1A1B1C__bin_138,1,76,REST,-0.5228737532093506,Natural-abundant,85,Balmoral
BAr1A1B1C__bin_33,1,61,DAM,-0.43529384133882526,Natural-abundant,85,Balmoral
BAr1A1B1C__bin_33,1,61,NAT,0.8705876826776505,Natural-abundant,85,Balmoral
BAr1A1B1C__bin_33,1,61,REST,-0.43529384133882526,Natural-abundant,85,Balmoral
BAr1A1B1C__bin_42,1,49,DAM,-0.7257980963010349,Natural-abundant,85,Balmoral
BAr1A1B1C__bin_42,1,49,NAT,1.2726290134988933,Natural-abundant,85,Balmoral
BAr1A1B1C__bin_42,1,49,REST,-0.5468309171978586,Natural-abundant,85,Balmoral
BAr1A1B1C__bin_56,1,16,DAM,-0.8366901337090809,Natural-abundant,85,Balmoral
BAr1A1B1C__bin_56,1,16,NAT,0.8671736704098174,Natural-abundant,85,Balmoral
BAr1A1B1C__bin_56,1,16,REST,-0.03048353670073659,Natural-abundant,85,Balmoral
BAr1A1B1C__bin_58,1,11,DAM,-0.8982502882830196,Natural-abundant,85,Balmoral
BAr1A1B1C__bin_58,1,11,NAT,1.0211564137725806,Natural-abundant,85,Balmoral
BAr1A1B1C__bin_58,1,11,REST,-0.12290612548956109,Natural-abundant,85,Balmoral
BAr1A1B1C__bin_60,1,3,DAM,-1.0059002424937247,Natural-abundant,85,Balmoral
BAr1A1B1C__bin_60,1,3,NAT,0.41525581887714225,Natural-abundant,85,Balmoral
BAr1A1B1C__bin_60,1,3,REST,0.5906444236165828,Natural-abundant,85,Balmoral
BAr1A1B1C__bin_73,1,40,DAM,-0.4494578486442879,Natural-abundant,85,Balmoral
BAr1A1B1C__bin_73,1,40,NAT,0.5840882526262043,Natural-abundant,85,Balmoral
BAr1A1B1C__bin_73,1,40,REST,-0.1346304039819164,Natural-abundant,85,Balmoral
BAr1A1B1C__bin_79,1,65,DAM,-0.42358795414165623,Natural-abundant,85,Balmoral
BAr1A1B1C__bin_79,1,65,NAT,0.8471759082833124,Natural-abundant,85,Balmoral
BAr1A1B1C__bin_79,1,65,REST,-0.42358795414165623,Natural-abundant,85,Balmoral
BAr1A1B1C__bin_80,1,75,DAM,-0.5444432189001254,Natural-abundant,85,Balmoral
