Host,baseMean,estimate,stderror,statistic,p.value,p.adjusted,site,Cluster,order,treatment,MeanZS,Title,Cluster.size
CRr3G3H3I__bin_97,48639.14851943606,-1.4162702506589042,0.40950011632649813,66.5420125292271,3.552921171381034e-15,6.082601045404331e-14,Balmoral,2,241,DAM,NA,Restored-abundant,169
CRr3G3H3I__bin_97,48639.14851943606,-1.4162702506589042,0.40950011632649813,66.5420125292271,3.552921171381034e-15,6.082601045404331e-14,Balmoral,2,241,NAT,NA,Restored-abundant,169
CRr3G3H3I__bin_97,48639.14851943606,-1.4162702506589042,0.40950011632649813,66.5420125292271,3.552921171381034e-15,6.082601045404331e-14,Balmoral,2,241,REST,NA,Restored-abundant,169
MGr2D2E2F__bin_102,880.7790069795202,-1.0668344317009142,0.5856095896797356,3.2478740411778517,0.1971210995478995,0.24070817448124335,Balmoral,NA,NA,NA,NA,NA,NA
MGr2D2E2F__bin_107,156.13695342208578,-0.15994244352457815,0.5774325412755699,12.15042163479501,0.002299161431799914,0.004708330587609394,Balmoral,2,184,DAM,NA,Restored-abundant,169
MGr2D2E2F__bin_107,156.13695342208578,-0.15994244352457815,0.5774325412755699,12.15042163479501,0.002299161431799914,0.004708330587609394,Balmoral,2,184,NAT,NA,Restored-abundant,169
MGr2D2E2F__bin_107,156.13695342208578,-0.15994244352457815,0.5774325412755699,12.15042163479501,0.002299161431799914,0.004708330587609394,Balmoral,2,184,REST,NA,Restored-abundant,169
BOr1A1B1C__bin_57,41880.83871230824,1.2745377690060204,1.1199852958385137,8.315295053824883,0.015644317500961895,0.02549749624138706,Balmoral,2,263,DAM,-0.3333333333333333,Restored-abundant,169
BOr1A1B1C__bin_57,41880.83871230824,1.2745377690060204,1.1199852958385137,8.315295053824883,0.015644317500961895,0.02549749624138706,Balmoral,2,263,NAT,-0.3333333333333333,Restored-abundant,169
BOr1A1B1C__bin_57,41880.83871230824,1.2745377690060204,1.1199852958385137,8.315295053824883,0.015644317500961895,0.02549749624138706,Balmoral,2,263,REST,0.6666666666666666,Restored-abundant,169
CRr2D2E2F__bin_21,44463.22782326048,0.8701552738146955,0.7347689247350719,3.4790089434692675,0.17560739748957552,0.2165993260101969,Balmoral,NA,NA,NA,NA,NA,NA
SEr2D2E2F__bin_42,1965.453842671744,0.4821732726680764,0.34434705100849333,7.983585587265594,0.01846657766242693,0.029491400147457932,Balmoral,2,133,DAM,NA,Restored-abundant,169
SEr2D2E2F__bin_42,1965.453842671744,0.4821732726680764,0.34434705100849333,7.983585587265594,0.01846657766242693,0.029491400147457932,Balmoral,2,133,NAT,NA,Restored-abundant,169
SEr2D2E2F__bin_42,1965.453842671744,0.4821732726680764,0.34434705100849333,7.983585587265594,0.01846657766242693,0.029491400147457932,Balmoral,2,133,REST,NA,Restored-abundant,169
LASYr2D2E2F__bin_2,4669.062570902368,0.6248141907876633,0.5423590160781329,1.8980076417575162,0.3871264787467752,0.43949637374965456,Balmoral,NA,NA,NA,NA,NA,NA
SEr3G3H3I__bin_90,10258.863815555975,0.2814324469052495,0.5854142558635657,0.24933233725099058,0.8827915569182755,0.893226445297924,Balmoral,NA,NA,NA,NA,NA,NA
CRr1A1B1C__bin_11,212761.35937848085,3.413602858609084,1.0555536402425167,10.764922807275155,0.004596494167150401,0.008901807708327472,Balmoral,1,45,DAM,-0.5596008936280726,Natural-abundant,85
CRr1A1B1C__bin_11,212761.35937848085,3.413602858609084,1.0555536402425167,10.764922807275155,0.004596494167150401,0.008901807708327472,Balmoral,1,45,NAT,0.6515587190910964,Natural-abundant,85
CRr1A1B1C__bin_11,212761.35937848085,3.413602858609084,1.0555536402425167,10.764922807275155,0.004596494167150401,0.008901807708327472,Balmoral,1,45,REST,-0.09195782546302385,Natural-abundant,85
CRr1A1B1C__bin_138,71308.52484417574,-0.6931861018794,0.5432894185373692,9.336470305036755,0.009388824757709458,0.016605028910329125,Balmoral,3,106,DAM,0.4427932716336954,Damaged-abundant,30
CRr1A1B1C__bin_138,71308.52484417574,-0.6931861018794,0.5432894185373692,9.336470305036755,0.009388824757709458,0.016605028910329125,Balmoral,3,106,NAT,-0.5855581292540083,Damaged-abundant,30
CRr1A1B1C__bin_138,71308.52484417574,-0.6931861018794,0.5432894185373692,9.336470305036755,0.009388824757709458,0.016605028910329125,Balmoral,3,106,REST,0.14276485762031288,Damaged-abundant,30
