"","Host","baseMean","estimate","stderror","statistic","p.value","p.adjusted"
"1","CRr3G3H3I__bin_97",52099.7353315577,0.427523362007366,0.728191013434943,0.999972247921278,0.606539076014334,0.736511735160262
"2","MGr2D2E2F__bin_102",81905.4761622028,1.14994503957307,0.785723005111705,3.04325210151833,0.218356539307347,0.407935060082945
"3","MGr2D2E2F__bin_107",179250.875308361,6.30727720360846,1.6234926207644,9.51503922471619,0.00858688180018915,0.0462853872644342
"4","BOr1A1B1C__bin_57",2095.0355122864,0.297382664126949,0.966754006336182,6.85091610824225,0.032534375070926,0.115969304688301
"5","CRr2D2E2F__bin_21",84414.4463971888,-1.51614250180757,0.704770132956075,7.594941986229,0.02242741929291,0.0917862900691319
"6","SEr2D2E2F__bin_42",47077.9567829849,-1.20739450875183,0.746831592021499,16.7777793455928,0.000227379604010546,0.0029559348521371
"7","LASYr2D2E2F__bin_2",571.378039351787,-0.220564071422844,0.279088267712058,3.65107356780922,0.161131128315494,0.339142660549755
"8","SEr3G3H3I__bin_90",45273.240546889,0.272931379739128,0.826685332933275,1.08860899680622,0.580245204499873,0.717754463092133
"9","CRr1A1B1C__bin_11",2860431.08434538,0.418208094120732,0.429057915255865,1.05357883984868,0.590497769933945,0.721646747754856
"10","CRr1A1B1C__bin_138",32821.1670831297,-0.222655883588008,0.514079813278811,11.3321292975658,0.00346146057049709,0.0231418909613051
"11","LABRr1A1B1C__bin_32",32111.9159797854,1.69703167767159,0.967965161740589,3.7427559062582,0.153911432887404,0.32909207907525
"12","SEr3G3H3I__bin_216",71098.2641533691,1.38898933319225,0.697577750085349,9.28400457664998,0.00963837947903761,0.0507162348777931
"13","BAr1A1B1C__bin_108",38789.5286215986,-0.234791093015756,0.410322401306761,0.379615912034637,0.827117961719431,0.898246041965573
"14","MGr1A1B1C__bin_104",214502.035697553,-0.122965785470467,0.665979255720159,4.08129386224567,0.12994461846243,0.295098379156767
"15","BAr2D2E2F__bin_44",21218.5929346123,-0.605126677316337,0.490222355676061,7.96636416403283,0.0186262746026511,0.0815061292045802
"16","BAr1A1B1C__bin_31",260.93773843899,0.00703648620203926,0.369629378043009,0.270880657989366,0.873331273928796,0.925798388033348
"17","BOr1A1B1C__bin_20",8086.23105458327,-0.465203308316896,0.453051189804146,3.09708060481088,0.21255801791384,0.399789974118798
"18","MHr1A1B1C__bin_78",208048.39092349,0.520613833100799,0.671987749464801,1.87246924109382,0.392101470039349,0.566493750547843
"19","BAr2D2E2F__bin_2",2594.3609301424,0.223541152419901,0.530377009987522,0.51740790592973,0.772051552787432,0.861734308919305
"20","LASAr3G3H3I__bin_54",11108.8967069677,-0.623213378494953,0.38559817428649,3.61108901337616,0.164384923513419,0.342727057513825
"21","BOr2D2E2F__bin_74",137557.760857853,-0.102208331919849,0.80919330370771,0.626080512669063,0.731220475720289,0.844029738611768
