Genome	BAr1A.filtered Read Count	BAr1B.filtered Read Count	BAr1C.filtered Read Count	BAr2D.filtered Read Count	BAr2E.filtered Read Count	BAr2F.filtered Read Count	BAr3G.filtered Read Count	BAr3H.filtered Read Count	BAr3I.filtered Read Count	BOr1A.filtered Read Count	BOr1B.filtered Read Count	BOr1C.filtered Read Count	BOr2D.filtered Read Count	BOr2E.filtered Read Count	BOr2F.filtered Read Count	BOr3G.filtered Read Count	BOr3H.filtered Read Count	BOr3I.filtered Read Count	CRr1A.filtered Read Count	CRr1B.filtered Read Count	CRr1C.filtered Read Count	CRr2D.filtered Read Count	CRr2E.filtered Read Count	CRr2F.filtered Read Count	CRr3G.filtered Read Count	CRr3H.filtered Read Count	CRr3I.filtered Read Count	LABRr1A.filtered Read Count	LABRr1B.filtered Read Count	LABRr1C.filtered Read Count	LASAr3G.filtered Read Count	LASAr3H.filtered Read Count	LASAr3I.filtered Read Count	LASCr2D.filtered Read Count	LASCr2E.filtered Read Count	LASCr2F.filtered Read Count	LASYr2D.filtered Read Count	LASYr2E.filtered Read Count	LASYr2F.filtered Read Count	LAWAr2D.filtered Read Count	LAWAr2E.filtered Read Count	LAWAr2F.filtered Read Count	MGr1A.filtered Read Count	MGr1B.filtered Read Count	MGr1C.filtered Read Count	MGr2D.filtered Read Count	MGr2E.filtered Read Count	MGr2F.filtered Read Count	MGr3G.filtered Read Count	MGr3H.filtered Read Count	MGr3I.filtered Read Count	MHr1A.filtered Read Count	MHr1B.filtered Read Count	MHr1C.filtered Read Count	MHr2D.filtered Read Count	MHr2E.filtered Read Count	MHr2F.filtered Read Count	MHr3G.filtered Read Count	MHr3H.filtered Read Count	MHr3I.filtered Read Count	SEr2D.filtered Read Count	SEr2E.filtered Read Count	SEr2F.filtered Read Count	SEr3G.filtered Read Count	SEr3H.filtered Read Count	SEr3I.filtered Read Count
CRr3G3H3I__bin_97	10209	12759	16148	32489	33730	48124	43342	58656	46712	28005	38878	37509	32549	28547	29310	40073	49567	46153	21608	126451	163406	13160	12412	66022	319814	443281	601693	11469	11914	10574	11372	19263	22211	2941	19804	3949	35223	19999	26656	3478	10591	5350	45871	79649	60886	16719	57103	60834	89147	76697	5667	31509	153521	130518	26026	69457	52563	23992	6577	543723	19889	13191	10193	5297	1809	25353
MGr2D2E2F__bin_102	527	3498	766	574	510	586	411	897	547	4445	4663	12778	23270	29801	18214	461	339	435	2718	7056	3185	2675	3848	1955	5329	3867	20829	138417	55568	18398	853	10914	957	66326	25448	20966	286	258	683	41211	4799	50402	87344	44044	20480	151068	80904	58057	25896	143684	67940	2728	5610	3254	1355	611	325	1010	23904	19886	1623	2558	1905	3186	2835	66487
MGr2D2E2F__bin_107	612	317	378	77	134	51	43	49	49	164	51	90	125	119	72	43	24	31	178	212	222	460	414	209	295	160	189	10819	8206	920	106	80	42	686	440	482	59	60	96	387	87	1042	418544	12866	499	526929	166118	37744	168	25779	931	180	172	231	108	130	65	98	293	285	179	116	87	285	284	2772
BOr1A1B1C__bin_57	11179	4944	17657	157074	6743	14416	9535	28454	16906	81756	234499	481075	100674	42814	300177	258956	510260	519790	77892	8181	19076	2618	39294	46472	2089	33619	65959	391	341	2367	6822	1220	14088	1272	193454	2922	61043	145892	31888	804	3087	296	334	317	780	5184	227	1140	565	10008	2115	82236	12062	12554	532	6575	4951	39733	4704	44636	94399	3707	14933	67852	3050	14664
CRr2D2E2F__bin_21	51818	79789	187539	14057	60117	83826	3445	26948	10992	90458	109478	128718	140736	58127	95293	31754	48668	105770	1916143	1395796	1064746	199826	167383	393051	375828	1006370	1092743	13017	12378	14648	112113	54744	34938	111841	100292	102436	42877	75993	79459	14582	35029	24389	65737	219225	104000	30016	13377	31381	143907	284723	19925	1387919	1363733	950724	14394	52408	19746	205905	27387	937060	160758	71143	496164	186202	123321	94989
SEr2D2E2F__bin_42	2688	7226	3805	1401	1748	2800	569	820	626	5570	3744	5156	3405	5934	4038	2353	4018	2416	4367	7005	4862	7762	30447	36430	5556	4171	8952	1438	1292	789	2789	4602	945	10059	10635	6069	1453	632	1184	29874	7534	16195	12126	7646	4786	16218	39077	45652	23083	177671	136755	4066	6831	4981	23899	4097	903	1313	5172	10692	170923	124303	86564	44102	25785	112737
LASYr2D2E2F__bin_2	6973	5817	5819	4390	2901	12098	1301	1979	2619	7618	20141	38193	14665	3822	14037	54302	90191	44674	1291	942	1518	1509	4822	1514	1296	1376	778	3906	3454	3753	47841	10914	39313	1135	39650	1209	284887	108024	32393	1377	2545	1080	299	577	467	399	467	533	849	1471	493	1249	997	1104	3545	12204	6673	2232	1879	741	94026	2042	10846	540	983	7803
SEr3G3H3I__bin_90	23740	11932	9372	7718	21512	7596	4257	5862	3870	11763	6840	38937	12548	11305	11039	3386	4026	4917	21894	15404	10189	41070	28800	172182	102332	43646	27795	25286	15359	22628	6255	10734	6854	23606	24831	18999	5858	7948	4433	21821	14145	17609	95023	49219	13755	36912	28791	30648	10420	53873	53423	16823	17614	9865	8245	15623	10848	7195	13609	37636	313690	348017	73356	65940	191237	1073889
CRr1A1B1C__bin_11	233381	1486131	212698	14930	104367	871498	5859	15875	16539	535069	211866	144370	738287	729690	793384	584444	573557	173842	106156	1496099	1147275	365491	518804	253400	505161	173914	449758	3937388	3486989	6457780	475144	3057414	1668830	2218773	1574740	1446165	3925608	1545362	1726336	4989257	2779418	8992291	3016412	3318704	2085223	1504082	4303570	2203496	2597871	6074227	1700366	124052	1443382	956870	1589952	3658086	1466133	1693721	1741066	664815	25960	19742	24125	4016	6076	12083453
CRr1A1B1C__bin_138	61665	44562	54366	67310	49321	85131	46576	51009	63784	36452	59034	89251	29953	19435	43078	53956	66111	125542	297212	154645	192965	41367	36827	79838	43497	191376	149655	16992	15876	36497	40817	31147	63642	17093	51236	21395	32760	37229	34882	16434	23921	10567	25266	64569	75130	16917	10025	18427	28299	63595	11601	252801	193292	185719	18127	74984	42776	49407	24009	109965	147778	22385	23010	26613	42113	101507
LABRr1A1B1C__bin_32	333	8431	1038	422	1233	1430	15	118	29	7311	1184	3762	1295	1264	1368	643	549	288	984	4700	2795	1169	1502	666	5729	1324	3790	176807	108387	197317	9922	37475	2766	153437	76054	61784	522	437	4153	919186	48102	904674	75574	25728	9551	53995	17973	15087	1828	27219	17954	655	3845	3622	177555	32900	33464	3514	161520	5744	4998	1311	1635	980	685	357665
SEr3G3H3I__bin_216	294662	59993	225227	1366	4018	789	71	1111	84	19573	1517	7177	39589	48810	19639	286	315	224	68135	96837	101047	199419	189815	89062	70757	20830	52764	80683	56969	22671	7740	2192	1005	52737	76332	110099	1161	86	2976	38500	203	228054	74846	147503	125035	72912	57691	23657	11716	41538	37757	53856	54338	119272	8412	4254	2630	62078	128118	102671	52788	9846	1523	96597	65165	985731
BAr1A1B1C__bin_108	19644	162123	783624	11660	21140	30737	19249	22248	73613	19947	20199	31695	10311	6581	9702	21751	38472	103300	17658	49382	112227	29907	12040	36938	32351	29876	30448	9853	8156	13257	15793	17766	14289	7536	24510	8210	8633	8573	10997	13437	21016	7890	21690	39117	46262	20701	26971	41776	57732	74746	35482	15326	60236	73524	13555	23208	13775	8340	12350	26821	6744	6650	7788	18057	27913	40163
SEr2D2E2F__bin_135	7159	300043	9937	5727	25923	16468	53	28595	292	126297	295477	516999	390742	285766	353483	9893	26733	34885	146973	833760	411092	254821	520364	616662	1638988	1241840	1408722	49087	32257	28860	151007	198276	29192	400308	488774	227790	19355	2170	127642	364140	9838	536628	340913	641035	388562	57950	159270	90131	234699	573436	1423510	133692	608745	489738	79762	5791	6372	11395	823555	2425036	1418593	1848177	245896	3910726	3805608	10436408
MGr1A1B1C__bin_104	1116	18692	39021	1404	1791	936	716	905	852	1916	728	852	893	669	705	1331	1058	831	1675	4376	42104	8566	2265	1193	2713	1953	1382	160075	166945	38243	1483	2083	9416	84758	117427	76913	844	1037	926	30709	10928	86859	157447	372977	444422	66383	145009	159360	365718	211009	61087	1820	4859	14547	19359	15142	14078	66590	175521	1872	1121	3260	1064	951	1175	63936
