Genome	BAr1A.filtered Covered Fraction	BAr1B.filtered Covered Fraction	BAr1C.filtered Covered Fraction	BAr2D.filtered Covered Fraction	BAr2E.filtered Covered Fraction	BAr2F.filtered Covered Fraction	BAr3G.filtered Covered Fraction	BAr3H.filtered Covered Fraction	BAr3I.filtered Covered Fraction	BOr1A.filtered Covered Fraction	BOr1B.filtered Covered Fraction	BOr1C.filtered Covered Fraction	BOr2D.filtered Covered Fraction	BOr2E.filtered Covered Fraction	BOr2F.filtered Covered Fraction	BOr3G.filtered Covered Fraction	BOr3H.filtered Covered Fraction	BOr3I.filtered Covered Fraction	CRr1A.filtered Covered Fraction	CRr1B.filtered Covered Fraction	CRr1C.filtered Covered Fraction	CRr2D.filtered Covered Fraction	CRr2E.filtered Covered Fraction	CRr2F.filtered Covered Fraction	CRr3G.filtered Covered Fraction	CRr3H.filtered Covered Fraction	CRr3I.filtered Covered Fraction	LABRr1A.filtered Covered Fraction	LABRr1B.filtered Covered Fraction	LABRr1C.filtered Covered Fraction	LASAr3G.filtered Covered Fraction	LASAr3H.filtered Covered Fraction	LASAr3I.filtered Covered Fraction	LASCr2D.filtered Covered Fraction	LASCr2E.filtered Covered Fraction	LASCr2F.filtered Covered Fraction	LASYr2D.filtered Covered Fraction	LASYr2E.filtered Covered Fraction	LASYr2F.filtered Covered Fraction	LAWAr2D.filtered Covered Fraction	LAWAr2E.filtered Covered Fraction	LAWAr2F.filtered Covered Fraction	MGr1A.filtered Covered Fraction	MGr1B.filtered Covered Fraction	MGr1C.filtered Covered Fraction	MGr2D.filtered Covered Fraction	MGr2E.filtered Covered Fraction	MGr2F.filtered Covered Fraction	MGr3G.filtered Covered Fraction	MGr3H.filtered Covered Fraction	MGr3I.filtered Covered Fraction	MHr1A.filtered Covered Fraction	MHr1B.filtered Covered Fraction	MHr1C.filtered Covered Fraction	MHr2D.filtered Covered Fraction	MHr2E.filtered Covered Fraction	MHr2F.filtered Covered Fraction	MHr3G.filtered Covered Fraction	MHr3H.filtered Covered Fraction	MHr3I.filtered Covered Fraction	SEr2D.filtered Covered Fraction	SEr2E.filtered Covered Fraction	SEr2F.filtered Covered Fraction	SEr3G.filtered Covered Fraction	SEr3H.filtered Covered Fraction	SEr3I.filtered Covered Fraction
CRr3G3H3I__bin_97	0.045524586	0.047571886	0.08763833	0.09992862	0.08634144	0.095861934	0.12403965	0.25875875	0.12387179	0.067280345	0.06874992	0.07761806	0.06481621	0.049883116	0.062157776	0.100510664	0.109785005	0.094166495	0.20826764	0.82325673	0.8992149	0.10857787	0.0669737	0.47322896	0.97941446	0.99184024	0.99505526	0.031266283	0.03256118	0.034403548	0.048518416	0.050474137	0.055877592	0.02282678	0.076705106	0.026413959	0.06703885	0.06148731	0.07501764	0.021968171	0.038938753	0.030616425	0.14756083	0.45862097	0.30612537	0.06151623	0.07586661	0.08516921	0.09904325	0.09736675	0.032193866	0.27116504	0.87066394	0.83242756	0.039640136	0.07320169	0.06294026	0.05020605	0.03277525	0.99178255	0.080850065	0.0483803	0.047494266	0.029443026	0.013710993	0.053914893
MGr2D2E2F__bin_102	0.01225061	0.118602745	0.025969906	0.014655419	0.012011249	0.017100742	0.010486586	0.03211387	0.012886597	0.17793344	0.1865366	0.42282835	0.57967615	0.65735716	0.49381152	0.01603028	0.011004224	0.011702051	0.029825278	0.15777537	0.050827768	0.045330454	0.09889462	0.039102796	0.116732635	0.05433556	0.53287435	0.9477851	0.88476	0.5739368	0.023806592	0.36673784	0.034568258	0.8943014	0.66498685	0.6051684	0.0072831954	0.008132955	0.014201218	0.7998966	0.17520131	0.86273456	0.9446734	0.8004046	0.54915196	0.9916773	0.95455706	0.91727906	0.6482913	0.970364	0.92590356	0.023509122	0.119108126	0.050358642	0.06298349	0.016457826	0.013455946	0.038520116	0.6057452	0.50234646	0.033924807	0.039924834	0.03202964	0.0235587	0.018431356	0.7703005
MGr2D2E2F__bin_107	0.0031629128	0.0036156548	0.0033837564	0.00037686623	0.0010446733	0.0004906799	0.00024873173	0.00045726437	0.00024596803	0.0018476496	0.00035199308	0.00094467803	0.0012640094	0.0015335943	0.00084443163	0.00040425186	0.00019471423	0.00018994059	0.0018134804	0.0024750063	0.0023340583	0.0027898152	0.002452143	0.0024277724	0.0020908539	0.0014145046	0.0020594483	0.15899107	0.13799535	0.015533171	0.0010454269	0.00083965797	0.0006489637	0.0036000775	0.0030287483	0.0032900423	0.00043590862	0.00040123693	0.0008049863	0.0028290092	0.0009160362	0.0044897334	0.9986561	0.24104968	0.008597324	0.9995887	0.95712596	0.56476295	0.0015785671	0.31677392	0.00488494	0.001916993	0.0020438712	0.002153665	0.0013635021	0.0010961783	0.00068614783	0.0012278302	0.0025036482	0.0020544236	0.0013619947	0.0007024787	0.00062082434	0.0015082187	0.0012516984	0.024504345
BOr1A1B1C__bin_57	0.21438022	0.1215735	0.34061423	0.77025515	0.13446604	0.23525552	0.19993857	0.37295184	0.2931633	0.8754408	0.98711014	0.99690986	0.91730016	0.6837777	0.9880021	0.98811597	0.9957737	0.9950458	0.8439038	0.21495251	0.41846797	0.07544803	0.6652229	0.7187891	0.055640176	0.54691637	0.8105264	0.008414254	0.009071427	0.066878155	0.15358943	0.026792223	0.36161384	0.032603044	0.98279625	0.080239914	0.7819152	0.9516763	0.5662668	0.020311428	0.07899562	0.0065582674	0.008486337	0.007491313	0.020333324	0.14434318	0.0057010106	0.034438483	0.01514633	0.18657412	0.05710644	0.8456837	0.29101226	0.29592773	0.013741372	0.10972314	0.10573732	0.66824937	0.10911144	0.69544446	0.89858973	0.097334184	0.3554645	0.8272892	0.05918474	0.24465065
CRr2D2E2F__bin_21	0.61208975	0.7435315	0.9466278	0.18486679	0.522714	0.71380216	0.03932387	0.3829574	0.14859726	0.7736421	0.81742966	0.8554034	0.87600064	0.63010883	0.7656233	0.34219244	0.51895165	0.8098859	0.96648276	0.9818001	0.9797786	0.96276957	0.9125018	0.99343103	0.9736207	0.985993	0.98752445	0.19922768	0.20770368	0.23123607	0.8126358	0.49621293	0.3390659	0.82851803	0.8086557	0.8290421	0.4571645	0.71179926	0.69653094	0.11258281	0.40501338	0.3004608	0.7021603	0.9451802	0.81091547	0.43065155	0.10387743	0.39801782	0.8953345	0.9362112	0.21842538	0.9656992	0.9809324	0.978435	0.16279337	0.40123248	0.21789195	0.91871154	0.3814488	0.9875318	0.91234934	0.6317292	0.96742624	0.79005533	0.53710085	0.6772532
SEr2D2E2F__bin_42	0.047422152	0.1867511	0.09733228	0.023608861	0.024242654	0.053178046	0.0050788056	0.009358779	0.005786818	0.13345976	0.068937905	0.11123405	0.072968856	0.111903	0.07712871	0.037983947	0.08032566	0.037989154	0.07794935	0.13565476	0.09238987	0.19494417	0.5668155	0.6426815	0.11668526	0.075014435	0.15176782	0.028329268	0.02654638	0.015270271	0.07001734	0.10023106	0.015780365	0.251258	0.2539836	0.15916923	0.011369207	0.005892287	0.01827615	0.5420764	0.17047626	0.37614316	0.24554278	0.13176477	0.09274436	0.3538826	0.6465734	0.7089456	0.43585217	0.906046	0.9151795	0.07167262	0.1182061	0.087326355	0.51996857	0.07183669	0.010322977	0.027385252	0.13009581	0.17864297	0.9828681	0.9641974	0.90937513	0.1642477	0.13463002	0.23783277
LASYr2D2E2F__bin_2	0.0830011	0.07277421	0.05201744	0.043977745	0.035441983	0.07258304	0.021610152	0.027773075	0.03792014	0.108009875	0.25242525	0.4567244	0.16896392	0.05494068	0.1706084	0.6031055	0.799692	0.5549977	0.016003406	0.0124585815	0.02176236	0.011440003	0.037630387	0.019320035	0.015392162	0.015977917	0.00980345	0.0152976625	0.014603221	0.018625353	0.5244413	0.102946326	0.5310534	0.011320736	0.533848	0.016817113	0.9833368	0.8682187	0.43628648	0.015640315	0.02491043	0.012669703	0.0027373675	0.00663374	0.0062160655	0.0058325357	0.0057640052	0.006095356	0.007622982	0.009608439	0.0049613584	0.015541486	0.01430289	0.015850713	0.017838577	0.08035246	0.047378533	0.023557136	0.017733496	0.008248412	0.79292625	0.038222633	0.18874756	0.0046160617	0.005626704	0.029821292
SEr3G3H3I__bin_90	0.18336888	0.15688448	0.11205549	0.07504262	0.23052683	0.0996425	0.04566056	0.061255544	0.042737205	0.17160474	0.09543371	0.50889134	0.16762206	0.17025305	0.15713109	0.04365248	0.04775234	0.05054861	0.2613464	0.24710405	0.124579996	0.54524404	0.38779092	0.90810406	0.8082996	0.51357615	0.342078	0.23779997	0.16910319	0.18864903	0.076086625	0.11645832	0.08084335	0.22193597	0.22107634	0.18920451	0.05539328	0.07485306	0.0489951	0.20599416	0.12579589	0.1894615	0.81443346	0.60936636	0.23518643	0.35154688	0.2622749	0.41854754	0.13822962	0.39281642	0.35012826	0.208031	0.27226153	0.12658572	0.09766176	0.06725433	0.05490287	0.07158784	0.16260786	0.44227338	0.94972867	0.9558748	0.70047504	0.58741987	0.9080621	0.99007064
CRr1A1B1C__bin_11	0.68815464	0.96742994	0.6959031	0.101716354	0.49725303	0.7780668	0.044505265	0.13031758	0.13468072	0.79742795	0.6356847	0.58153725	0.7975927	0.80123574	0.7988585	0.753849	0.76113445	0.6396695	0.5712097	0.99541986	0.9919231	0.8654985	0.8890253	0.7861172	0.96238893	0.7497122	0.96155584	0.97686875	0.97504985	0.9846252	0.7617529	0.8404638	0.80982447	0.93082887	0.85182965	0.8622593	0.7940385	0.79134136	0.8193738	0.97658265	0.9753385	0.97526604	0.975544	0.9763403	0.9718792	0.9694188	0.978402	0.9756025	0.97916025	0.9796705	0.9106191	0.6046829	0.99167335	0.9863826	0.84473544	0.86494786	0.8059962	0.8908485	0.9286807	0.97457063	0.20119257	0.15879226	0.18798995	0.023611065	0.021034813	0.9886404
CRr1A1B1C__bin_138	0.52657443	0.41829437	0.56776667	0.5137177	0.41300547	0.5884852	0.4971323	0.5236638	0.59617734	0.39683402	0.528341	0.6311694	0.3103097	0.22686502	0.42838356	0.5078976	0.57304555	0.7018009	0.977767	0.8992202	0.94609123	0.4378566	0.36845252	0.7137385	0.27315962	0.90610164	0.8740884	0.18818638	0.19272183	0.4084181	0.30980927	0.2056639	0.46675372	0.1625452	0.48016524	0.23182134	0.32514992	0.3857163	0.321213	0.11318351	0.19976464	0.08853878	0.32812342	0.582075	0.6543525	0.25739452	0.09288855	0.22274129	0.24704653	0.47942182	0.12960085	0.95820343	0.92240393	0.92167723	0.115904875	0.4288985	0.34375384	0.51339847	0.28065962	0.7626374	0.8363917	0.16789207	0.22301146	0.09094561	0.115733005	0.58399296
