Genome	BAr1A.filtered Trimmed Mean	BAr1B.filtered Trimmed Mean	BAr1C.filtered Trimmed Mean	BAr2D.filtered Trimmed Mean	BAr2E.filtered Trimmed Mean	BAr2F.filtered Trimmed Mean	BAr3G.filtered Trimmed Mean	BAr3H.filtered Trimmed Mean	BAr3I.filtered Trimmed Mean	BOr1A.filtered Trimmed Mean	BOr1B.filtered Trimmed Mean	BOr1C.filtered Trimmed Mean	BOr2D.filtered Trimmed Mean	BOr2E.filtered Trimmed Mean	BOr2F.filtered Trimmed Mean	BOr3G.filtered Trimmed Mean	BOr3H.filtered Trimmed Mean	BOr3I.filtered Trimmed Mean	CRr1A.filtered Trimmed Mean	CRr1B.filtered Trimmed Mean	CRr1C.filtered Trimmed Mean	CRr2D.filtered Trimmed Mean	CRr2E.filtered Trimmed Mean	CRr2F.filtered Trimmed Mean	CRr3G.filtered Trimmed Mean	CRr3H.filtered Trimmed Mean	CRr3I.filtered Trimmed Mean	LABRr1A.filtered Trimmed Mean	LABRr1B.filtered Trimmed Mean	LABRr1C.filtered Trimmed Mean	LASAr3G.filtered Trimmed Mean	LASAr3H.filtered Trimmed Mean	LASAr3I.filtered Trimmed Mean	LASCr2D.filtered Trimmed Mean	LASCr2E.filtered Trimmed Mean	LASCr2F.filtered Trimmed Mean	LASYr2D.filtered Trimmed Mean	LASYr2E.filtered Trimmed Mean	LASYr2F.filtered Trimmed Mean	LAWAr2D.filtered Trimmed Mean	LAWAr2E.filtered Trimmed Mean	LAWAr2F.filtered Trimmed Mean	MGr1A.filtered Trimmed Mean	MGr1B.filtered Trimmed Mean	MGr1C.filtered Trimmed Mean	MGr2D.filtered Trimmed Mean	MGr2E.filtered Trimmed Mean	MGr2F.filtered Trimmed Mean	MGr3G.filtered Trimmed Mean	MGr3H.filtered Trimmed Mean	MGr3I.filtered Trimmed Mean	MHr1A.filtered Trimmed Mean	MHr1B.filtered Trimmed Mean	MHr1C.filtered Trimmed Mean	MHr2D.filtered Trimmed Mean	MHr2E.filtered Trimmed Mean	MHr2F.filtered Trimmed Mean	MHr3G.filtered Trimmed Mean	MHr3H.filtered Trimmed Mean	MHr3I.filtered Trimmed Mean	SEr2D.filtered Trimmed Mean	SEr2E.filtered Trimmed Mean	SEr2F.filtered Trimmed Mean	SEr3G.filtered Trimmed Mean	SEr3H.filtered Trimmed Mean	SEr3I.filtered Trimmed Mean
CRr3G3H3I__bin_97	0	0	0.041593924	0.09140381	0.058015067	0.0767739	0.17456914	0.42867896	0.17284621	0.020474143	0.024192976	0.040442754	0.016768334	0	0.013108855	0.09396218	0.12504318	0.076351725	0.24628772	2.5893207	3.5175278	0.077354416	0.018620402	0.9144765	6.8328733	9.736143	13.338209	0	0	0	0	0.00013005776	0.006282962	0	0.033655003	0	0.021948876	0.01248908	0.03569667	0	0	0	0.15189965	0.87858224	0.47931066	0.012252967	0.045443002	0.06576606	0.12029171	0.10325842	0	0.36533096	3.1548877	2.6828828	0	0.038512543	0.013911529	0	0	11.933261	0.043000184	0	0	0	0	0.0040103933
MGr2D2E2F__bin_102	0	0.08970084	0	0	0	0	0	0	0	0.19383805	0.20925352	0.7555505	1.4824322	1.9487649	1.0801551	0	0	0	0	0.15749584	0.0017335514	0	0.06278205	0	0.094580576	0.005439222	1.1797982	10.169256	3.9876344	1.1958259	0	0.5971367	0	4.7111998	1.6820074	1.3597594	0	0	0	2.7557914	0.19621404	3.545483	6.1014676	2.7711022	1.1196126	11.081592	5.7909155	4.181485	1.5684347	8.738736	4.6813006	0	0.09526601	0.0010923251	0.015408807	0	0	0	1.4242715	1.067121	0	0	0	0	0	2.7540944
MGr2D2E2F__bin_107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17574418	0.12906124	0	0	0	0	0	0	0	0	0	0	0	0	0	14.192966	0.30935648	0	17.973019	5.4245434	1.1351537	0	0.55662054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BOr1A1B1C__bin_57	0.2938575	0.097778216	0.5962653	5.840076	0.13314608	0.39133784	0.25087565	0.96344364	0.5370316	3.5383668	10.4877615	22.092552	4.4102297	1.7637297	13.169048	11.756666	23.940357	24.027906	3.413242	0.2566347	0.7195885	0.02950514	1.6450969	1.9848795	0.007098831	1.2980069	2.8551393	0	0	0.020069208	0.16279325	0	0.5320269	0	9.090229	0.03491909	2.5179904	6.5691056	1.2459577	0	0.03370102	0	0	0	0	0.13084045	0	0	0	0.26014844	0.0089364955	3.5640695	0.40650558	0.42014545	0	0.10039095	0.07705295	1.6764101	0.079858005	1.875822	4.235499	0.05444433	0.5348124	2.9344602	0.01123636	0.35833317
CRr2D2E2F__bin_21	1.3489698	2.029023	5.9638414	0.21155033	1.1093072	1.9504173	0	0.61141366	0.13935207	2.4522727	2.9304836	3.5368426	3.9435475	1.4966742	2.4762356	0.53344125	1.0372808	2.865376	60.098522	43.757523	33.665253	5.472191	4.070809	11.737936	10.590194	30.660522	33.418335	0.22932647	0.2373512	0.28466463	2.7522266	1.0304362	0.5263201	3.0235236	2.6696198	2.9478457	0.89936435	1.9644254	1.9059386	0.09347852	0.71502507	0.4265593	1.7831537	6.4404664	2.7897463	0.7330633	0.07471212	0.6548258	3.8547895	6.9317856	0.27353325	42.949482	42.378716	29.172752	0.16562708	1.0436757	0.27581254	6.16882	0.6068039	28.308372	4.5784106	1.4883931	15.385626	4.559128	2.1074238	2.0298386
SEr2D2E2F__bin_42	0	0.20063858	0.05316389	0	0	0.0037465114	0	0	0	0.11329823	0.021205729	0.07682487	0.025792966	0.08044376	0.030438347	0	0.034124155	0	0.03127359	0.11562147	0.047645237	0.21488738	1.1589395	1.4601696	0.09051674	0.027754536	0.1554965	0	0	0	0.022775277	0.05864305	0	0.3169128	0.32390922	0.15722182	0	0	0	1.1154021	0.18545432	0.57053244	0.30536062	0.10639983	0.047883302	0.53115326	1.5069203	1.8301677	0.7556792	6.1356173	5.784804	0.024231097	0.0913571	0.04184427	0.940333	0.02496504	0	0	0.10942227	0.20233501	7.321354	5.456387	3.717537	0.6761632	0.29197374	1.6427704
LASYr2D2E2F__bin_2	0.040502455	0.0261868	0.002645391	0	0	0.02896301	0	0	0	0.08578829	0.3764436	0.93201596	0.205618	0.0061126435	0.21037428	1.4380747	2.6392093	1.2090715	0	0	0	0	0	0	0	0	0	0	0	0	1.1367688	0.077595405	1.0617597	0	1.0968981	0	8.913787	3.3517728	0.83798254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05031963	0	0	0	0	2.9434528	0	0.21781482	0	0	0
SEr3G3H3I__bin_90	0.2769904	0.1677359	0.08513119	0.028091205	0.3397812	0.06600341	0	0.012612687	0	0.18946616	0.056799214	1.020495	0.18486898	0.18630747	0.16912843	0	0	0.0006720778	0.38247767	0.31571501	0.10774824	1.0984396	0.6509445	5.3452096	2.8900187	1.0964587	0.58817333	0.41598535	0.20300153	0.25554982	0.029343147	0.10131633	0.03457042	0.36533105	0.3627751	0.2550688	0.0060468405	0.027658833	0	0.3225971	0.12386881	0.24763504	2.882279	1.392599	0.29262227	0.7704683	0.51931715	0.75724673	0.13670021	1.0034385	0.9443653	0.26038352	0.37222138	0.11391839	0.059460152	0.022859417	0.0055004614	0.02405555	0.18885307	0.876061	9.849549	11.045072	1.9829047	1.6235088	5.4309206	33.30221
CRr1A1B1C__bin_11	3.2771273	22.730656	3.0840707	0.066821165	1.2979764	12.468947	0	0.11155029	0.116443925	7.643855	2.8168154	1.8863683	10.781405	10.529678	11.177363	8.197484	8.239948	2.3663528	1.4103109	24.044369	18.63565	5.551027	7.737179	3.647555	7.6603947	2.449044	6.9434314	62.66492	56.816795	104.31646	6.670248	44.880005	25.875828	34.502785	24.604074	22.568554	56.597565	22.525642	24.753687	77.72543	42.384552	145.88432	47.581486	53.519527	33.34112	23.763367	68.78972	35.392612	41.49015	81.29706	25.293293	1.6421992	23.008968	15.091003	25.03308	50.633118	22.93104	26.26188	26.872723	10.355214	0.24234633	0.16374049	0.218054	0	0	186.41234
CRr1A1B1C__bin_138	1.5127023	0.96451336	1.3539367	1.5405098	0.88353115	1.9536352	1.1666149	1.2494112	1.642003	0.77812254	1.3896667	2.2725713	0.52269214	0.30482265	0.90105236	1.2048265	1.5688584	3.3648455	8.848842	4.30008	5.6415935	0.8177196	0.6534243	2.0293765	0.46133983	5.242462	3.843918	0.23908827	0.23621663	0.7848572	0.5722797	0.28460386	1.3709643	0.19806656	1.1069957	0.338471	0.5942624	0.73925334	0.5648481	0.09989474	0.32401392	0.044672213	0.5062412	1.471897	1.8638253	0.33730787	0.057489835	0.27534163	0.34883136	1.1690555	0.11683262	7.425857	5.4479012	5.280784	0.09825276	1.500114	0.7764786	1.1836348	0.4421807	2.521806	4.209872	0.2017335	0.3174617	0.06694862	0.13201898	1.8873172
