"","BAr1A Covered Fraction","BAr1A Read Count","BAr1A Trimmed Mean","BAr1B Covered Fraction","BAr1B Read Count","BAr1B Trimmed Mean","BAr1C Covered Fraction","BAr1C Read Count","BAr1C Trimmed Mean","BAr2D Covered Fraction","BAr2D Read Count","BAr2D Trimmed Mean","BAr2E Covered Fraction","BAr2E Read Count","BAr2E Trimmed Mean","BAr2F Covered Fraction","BAr2F Read Count","BAr2F Trimmed Mean","BAr3G Covered Fraction","BAr3G Read Count","BAr3G Trimmed Mean","BAr3H Covered Fraction","BAr3H Read Count","BAr3H Trimmed Mean","BAr3I Covered Fraction","BAr3I Read Count","BAr3I Trimmed Mean","BOr1A Covered Fraction","BOr1A Read Count","BOr1A Trimmed Mean","BOr1B Covered Fraction","BOr1B Read Count","BOr1B Trimmed Mean","BOr1C Covered Fraction","BOr1C Read Count","BOr1C Trimmed Mean","BOr2D Covered Fraction","BOr2D Read Count","BOr2D Trimmed Mean","BOr2E Covered Fraction","BOr2E Read Count","BOr2E Trimmed Mean","BOr2F Covered Fraction","BOr2F Read Count","BOr2F Trimmed Mean","BOr3G Covered Fraction","BOr3G Read Count","BOr3G Trimmed Mean","BOr3H Covered Fraction","BOr3H Read Count","BOr3H Trimmed Mean","BOr3I Covered Fraction","BOr3I Read Count","BOr3I Trimmed Mean","CRr1A Covered Fraction","CRr1A Read Count","CRr1A Trimmed Mean","CRr1B Covered Fraction","CRr1B Read Count","CRr1B Trimmed Mean","CRr1C Covered Fraction","CRr1C Read Count","CRr1C Trimmed Mean","CRr2D Covered Fraction","CRr2D Read Count","CRr2D Trimmed Mean","CRr2E Covered Fraction","CRr2E Read Count","CRr2E Trimmed Mean","CRr2F Covered Fraction","CRr2F Read Count","CRr2F Trimmed Mean","CRr3G Covered Fraction","CRr3G Read Count","CRr3G Trimmed Mean","CRr3H Covered Fraction","CRr3H Read Count","CRr3H Trimmed Mean","CRr3I Covered Fraction","CRr3I Read Count","CRr3I Trimmed Mean","LABRr1A Covered Fraction","LABRr1A Read Count","LABRr1A Trimmed Mean","LABRr1B Covered Fraction","LABRr1B Read Count","LABRr1B Trimmed Mean","LABRr1C Covered Fraction","LABRr1C Read Count","LABRr1C Trimmed Mean","LASAr3G Covered Fraction","LASAr3G Read Count","LASAr3G Trimmed Mean","LASAr3H Covered Fraction","LASAr3H Read Count","LASAr3H Trimmed Mean","LASAr3I Covered Fraction","LASAr3I Read Count","LASAr3I Trimmed Mean","LASCr2D Covered Fraction","LASCr2D Read Count","LASCr2D Trimmed Mean","LASCr2E Covered Fraction","LASCr2E Read Count","LASCr2E Trimmed Mean","LASCr2F Covered Fraction","LASCr2F Read Count","LASCr2F Trimmed Mean","MGr1A Covered Fraction","MGr1A Read Count","MGr1A Trimmed Mean","MGr1B Covered Fraction","MGr1B Read Count","MGr1B Trimmed Mean","MGr1C Covered Fraction","MGr1C Read Count","MGr1C Trimmed Mean","MGr2D Covered Fraction","MGr2D Read Count","MGr2D Trimmed Mean","MGr2E Covered Fraction","MGr2E Read Count","MGr2E Trimmed Mean","MGr2F Covered Fraction","MGr2F Read Count","MGr2F Trimmed Mean","MGr3G Covered Fraction","MGr3G Read Count","MGr3G Trimmed Mean","MGr3H Covered Fraction","MGr3H Read Count","MGr3H Trimmed Mean","MGr3I Covered Fraction","MGr3I Read Count","MGr3I Trimmed Mean","MHr1A Covered Fraction","MHr1A Read Count","MHr1A Trimmed Mean","MHr1B Covered Fraction","MHr1B Read Count","MHr1B Trimmed Mean","MHr1C Covered Fraction","MHr1C Read Count","MHr1C Trimmed Mean","MHr2D Covered Fraction","MHr2D Read Count","MHr2D Trimmed Mean","MHr2E Covered Fraction","MHr2E Read Count","MHr2E Trimmed Mean","MHr2F Covered Fraction","MHr2F Read Count","MHr2F Trimmed Mean","MHr3G Covered Fraction","MHr3G Read Count","MHr3G Trimmed Mean","MHr3H Covered Fraction","MHr3H Read Count","MHr3H Trimmed Mean","MHr3I Covered Fraction","MHr3I Read Count","MHr3I Trimmed Mean","SEr2D Covered Fraction","SEr2D Read Count","SEr2D Trimmed Mean","SEr2E Covered Fraction","SEr2E Read Count","SEr2E Trimmed Mean","SEr2F Covered Fraction","SEr2F Read Count","SEr2F Trimmed Mean","SEr3G Covered Fraction","SEr3G Read Count","SEr3G Trimmed Mean","SEr3H Covered Fraction","SEr3H Read Count","SEr3H Trimmed Mean","SEr3I Covered Fraction","SEr3I Read Count","SEr3I Trimmed Mean"
"CRr3G3H3I__bin_97",0.045524586,0,0,0.047571886,0,0,0.08763833,0,0,0.09992862,0,0,0.08634144,0,0,0.095861934,0,0,0.12403965,0,0,0.25875875,0,0,0.12387179,0,0,0.067280345,0,0,0.06874992,0,0,0.07761806,0,0,0.06481621,0,0,0.049883116,0,0,0.062157776,0,0,0.100510664,0,0,0.109785005,0,0,0.094166495,0,0,0.20826764,0,0,0.82325673,126451,2.5893207,0.8992149,163406,3.5175278,0.10857787,0,0,0.0669737,0,0,0.47322896,0,0,0.97941446,319814,6.8328733,0.99184024,443281,9.736143,0.99505526,601693,13.338209,0.031266283,0,0,0.03256118,0,0,0.034403548,0,0,0.048518416,0,0,0.050474137,0,0,0.055877592,0,0,0.02282678,0,0,0.076705106,0,0,0.026413959,0,0,0.14756083,0,0,0.45862097,0,0,0.30612537,0,0,0.06151623,0,0,0.07586661,0,0,0.08516921,0,0,0.09904325,0,0,0.09736675,0,0,0.032193866,0,0,0.27116504,0,0,0.87066394,153521,3.1548877,0.83242756,130518,2.6828828,0.039640136,0,0,0.07320169,0,0,0.06294026,0,0,0.05020605,0,0,0.03277525,0,0,0.99178255,543723,11.933261,0.080850065,0,0,0.0483803,0,0,0.047494266,0,0,0.029443026,0,0,0.013710993,0,0,0.053914893,0,0
"MGr2D2E2F__bin_102",0.01225061,0,0,0.118602745,0,0,0.025969906,0,0,0.014655419,0,0,0.012011249,0,0,0.017100742,0,0,0.010486586,0,0,0.03211387,0,0,0.012886597,0,0,0.17793344,0,0,0.1865366,0,0,0.42282835,0,0,0.57967615,23270,1.4824322,0.65735716,29801,1.9487649,0.49381152,0,0,0.01603028,0,0,0.011004224,0,0,0.011702051,0,0,0.029825278,0,0,0.15777537,0,0,0.050827768,0,0,0.045330454,0,0,0.09889462,0,0,0.039102796,0,0,0.116732635,0,0,0.05433556,0,0,0.53287435,20829,1.1797982,0.9477851,138417,10.169256,0.88476,55568,3.9876344,0.5739368,18398,1.1958259,0.023806592,0,0,0.36673784,0,0,0.034568258,0,0,0.8943014,66326,4.7111998,0.66498685,25448,1.6820074,0.6051684,20966,1.3597594,0.9446734,87344,6.1014676,0.8004046,44044,2.7711022,0.54915196,20480,1.1196126,0.9916773,151068,11.081592,0.95455706,80904,5.7909155,0.91727906,58057,4.181485,0.6482913,25896,1.5684347,0.970364,143684,8.738736,0.92590356,67940,4.6813006,0.023509122,0,0,0.119108126,0,0,0.050358642,0,0,0.06298349,0,0,0.016457826,0,0,0.013455946,0,0,0.038520116,0,0,0.6057452,23904,1.4242715,0.50234646,19886,1.067121,0.033924807,0,0,0.039924834,0,0,0.03202964,0,0,0.0235587,0,0,0.018431356,0,0,0.7703005,66487,2.7540944
"MGr2D2E2F__bin_107",0.0031629128,0,0,0.0036156548,0,0,0.0033837564,0,0,0.00037686623,0,0,0.0010446733,0,0,0.0004906799,0,0,0.00024873173,0,0,0.00045726437,0,0,0.00024596803,0,0,0.0018476496,0,0,0.00035199308,0,0,0.00094467803,0,0,0.0012640094,0,0,0.0015335943,0,0,0.00084443163,0,0,0.00040425186,0,0,0.00019471423,0,0,0.00018994059,0,0,0.0018134804,0,0,0.0024750063,0,0,0.0023340583,0,0,0.0027898152,0,0,0.002452143,0,0,0.0024277724,0,0,0.0020908539,0,0,0.0014145046,0,0,0.0020594483,0,0,0.15899107,0,0,0.13799535,0,0,0.015533171,0,0,0.0010454269,0,0,0.00083965797,0,0,0.0006489637,0,0,0.0036000775,0,0,0.0030287483,0,0,0.0032900423,0,0,0.9986561,418544,14.192966,0.24104968,0,0,0.008597324,0,0,0.9995887,526929,17.973019,0.95712596,166118,5.4245434,0.56476295,37744,1.1351537,0.0015785671,0,0,0.31677392,0,0,0.00488494,0,0,0.001916993,0,0,0.0020438712,0,0,0.002153665,0,0,0.0013635021,0,0,0.0010961783,0,0,0.00068614783,0,0,0.0012278302,0,0,0.0025036482,0,0,0.0020544236,0,0,0.0013619947,0,0,0.0007024787,0,0,0.00062082434,0,0,0.0015082187,0,0,0.0012516984,0,0,0.024504345,0,0
"BOr1A1B1C__bin_57",0.21438022,0,0,0.1215735,0,0,0.34061423,0,0,0.77025515,157074,5.840076,0.13446604,0,0,0.23525552,0,0,0.19993857,0,0,0.37295184,0,0,0.2931633,0,0,0.8754408,81756,3.5383668,0.98711014,234499,10.4877615,0.99690986,481075,22.092552,0.91730016,100674,4.4102297,0.6837777,42814,1.7637297,0.9880021,300177,13.169048,0.98811597,258956,11.756666,0.9957737,510260,23.940357,0.9950458,519790,24.027906,0.8439038,77892,3.413242,0.21495251,0,0,0.41846797,0,0,0.07544803,0,0,0.6652229,39294,1.6450969,0.7187891,46472,1.9848795,0.055640176,0,0,0.54691637,33619,1.2980069,0.8105264,65959,2.8551393,0.008414254,0,0,0.009071427,0,0,0.066878155,0,0,0.15358943,0,0,0.026792223,0,0,0.36161384,0,0,0.032603044,0,0,0.98279625,193454,9.090229,0.080239914,0,0,0.008486337,0,0,0.007491313,0,0,0.020333324,0,0,0.14434318,0,0,0.0057010106,0,0,0.034438483,0,0,0.01514633,0,0,0.18657412,0,0,0.05710644,0,0,0.8456837,82236,3.5640695,0.29101226,0,0,0.29592773,0,0,0.013741372,0,0,0.10972314,0,0,0.10573732,0,0,0.66824937,39733,1.6764101,0.10911144,0,0,0.69544446,44636,1.875822,0.89858973,94399,4.235499,0.097334184,0,0,0.3554645,0,0,0.8272892,67852,2.9344602,0.05918474,0,0,0.24465065,0,0
"CRr2D2E2F__bin_21",0.61208975,51818,1.3489698,0.7435315,79789,2.029023,0.9466278,187539,5.9638414,0.18486679,0,0,0.522714,60117,1.1093072,0.71380216,83826,1.9504173,0.03932387,0,0,0.3829574,0,0,0.14859726,0,0,0.7736421,90458,2.4522727,0.81742966,109478,2.9304836,0.8554034,128718,3.5368426,0.87600064,140736,3.9435475,0.63010883,58127,1.4966742,0.7656233,95293,2.4762356,0.34219244,0,0,0.51895165,48668,1.0372808,0.8098859,105770,2.865376,0.96648276,1916143,60.098522,0.9818001,1395796,43.757523,0.9797786,1064746,33.665253,0.96276957,199826,5.472191,0.9125018,167383,4.070809,0.99343103,393051,11.737936,0.9736207,375828,10.590194,0.985993,1006370,30.660522,0.98752445,1092743,33.418335,0.19922768,0,0,0.20770368,0,0,0.23123607,0,0,0.8126358,112113,2.7522266,0.49621293,0,0,0.3390659,0,0,0.82851803,111841,3.0235236,0.8086557,100292,2.6696198,0.8290421,102436,2.9478457,0.7021603,65737,1.7831537,0.9451802,219225,6.4404664,0.81091547,104000,2.7897463,0.43065155,0,0,0.10387743,0,0,0.39801782,0,0,0.8953345,143907,3.8547895,0.9362112,284723,6.9317856,0.21842538,0,0,0.9656992,1387919,42.949482,0.9809324,1363733,42.378716,0.978435,950724,29.172752,0.16279337,0,0,0.40123248,0,0,0.21789195,0,0,0.91871154,205905,6.16882,0.3814488,0,0,0.9875318,937060,28.308372,0.91234934,160758,4.5784106,0.6317292,71143,1.4883931,0.96742624,496164,15.385626,0.79005533,186202,4.559128,0.53710085,123321,2.1074238,0.6772532,94989,2.0298386
"SEr2D2E2F__bin_42",0.047422152,0,0,0.1867511,0,0,0.09733228,0,0,0.023608861,0,0,0.024242654,0,0,0.053178046,0,0,0.0050788056,0,0,0.009358779,0,0,0.005786818,0,0,0.13345976,0,0,0.068937905,0,0,0.11123405,0,0,0.072968856,0,0,0.111903,0,0,0.07712871,0,0,0.037983947,0,0,0.08032566,0,0,0.037989154,0,0,0.07794935,0,0,0.13565476,0,0,0.09238987,0,0,0.19494417,0,0,0.5668155,30447,1.1589395,0.6426815,36430,1.4601696,0.11668526,0,0,0.075014435,0,0,0.15176782,0,0,0.028329268,0,0,0.02654638,0,0,0.015270271,0,0,0.07001734,0,0,0.10023106,0,0,0.015780365,0,0,0.251258,0,0,0.2539836,0,0,0.15916923,0,0,0.24554278,0,0,0.13176477,0,0,0.09274436,0,0,0.3538826,0,0,0.6465734,39077,1.5069203,0.7089456,45652,1.8301677,0.43585217,0,0,0.906046,177671,6.1356173,0.9151795,136755,5.784804,0.07167262,0,0,0.1182061,0,0,0.087326355,0,0,0.51996857,23899,0.940333,0.07183669,0,0,0.010322977,0,0,0.027385252,0,0,0.13009581,0,0,0.17864297,0,0,0.9828681,170923,7.321354,0.9641974,124303,5.456387,0.90937513,86564,3.717537,0.1642477,0,0,0.13463002,0,0,0.23783277,0,0
"LASYr2D2E2F__bin_2",0.0830011,0,0,0.07277421,0,0,0.05201744,0,0,0.043977745,0,0,0.035441983,0,0,0.07258304,0,0,0.021610152,0,0,0.027773075,0,0,0.03792014,0,0,0.108009875,0,0,0.25242525,0,0,0.4567244,0,0,0.16896392,0,0,0.05494068,0,0,0.1706084,0,0,0.6031055,54302,1.4380747,0.799692,90191,2.6392093,0.5549977,44674,1.2090715,0.016003406,0,0,0.0124585815,0,0,0.02176236,0,0,0.011440003,0,0,0.037630387,0,0,0.019320035,0,0,0.015392162,0,0,0.015977917,0,0,0.00980345,0,0,0.0152976625,0,0,0.014603221,0,0,0.018625353,0,0,0.5244413,47841,1.1367688,0.102946326,0,0,0.5310534,39313,1.0617597,0.011320736,0,0,0.533848,39650,1.0968981,0.016817113,0,0,0.0027373675,0,0,0.00663374,0,0,0.0062160655,0,0,0.0058325357,0,0,0.0057640052,0,0,0.006095356,0,0,0.007622982,0,0,0.009608439,0,0,0.0049613584,0,0,0.015541486,0,0,0.01430289,0,0,0.015850713,0,0,0.017838577,0,0,0.08035246,0,0,0.047378533,0,0,0.023557136,0,0,0.017733496,0,0,0.008248412,0,0,0.79292625,94026,2.9434528,0.038222633,0,0,0.18874756,0,0,0.0046160617,0,0,0.005626704,0,0,0.029821292,0,0
"SEr3G3H3I__bin_90",0.18336888,0,0,0.15688448,0,0,0.11205549,0,0,0.07504262,0,0,0.23052683,0,0,0.0996425,0,0,0.04566056,0,0,0.061255544,0,0,0.042737205,0,0,0.17160474,0,0,0.09543371,0,0,0.50889134,38937,1.020495,0.16762206,0,0,0.17025305,0,0,0.15713109,0,0,0.04365248,0,0,0.04775234,0,0,0.05054861,0,0,0.2613464,0,0,0.24710405,0,0,0.124579996,0,0,0.54524404,41070,1.0984396,0.38779092,0,0,0.90810406,172182,5.3452096,0.8082996,102332,2.8900187,0.51357615,43646,1.0964587,0.342078,0,0,0.23779997,0,0,0.16910319,0,0,0.18864903,0,0,0.076086625,0,0,0.11645832,0,0,0.08084335,0,0,0.22193597,0,0,0.22107634,0,0,0.18920451,0,0,0.81443346,95023,2.882279,0.60936636,49219,1.392599,0.23518643,0,0,0.35154688,0,0,0.2622749,0,0,0.41854754,0,0,0.13822962,0,0,0.39281642,0,0,0.35012826,0,0,0.208031,0,0,0.27226153,0,0,0.12658572,0,0,0.09766176,0,0,0.06725433,0,0,0.05490287,0,0,0.07158784,0,0,0.16260786,0,0,0.44227338,0,0,0.94972867,313690,9.849549,0.9558748,348017,11.045072,0.70047504,73356,1.9829047,0.58741987,65940,1.6235088,0.9080621,191237,5.4309206,0.99007064,1073889,33.30221
"CRr1A1B1C__bin_11",0.68815464,233381,3.2771273,0.96742994,1486131,22.730656,0.6959031,212698,3.0840707,0.101716354,0,0,0.49725303,0,0,0.7780668,871498,12.468947,0.044505265,0,0,0.13031758,0,0,0.13468072,0,0,0.79742795,535069,7.643855,0.6356847,211866,2.8168154,0.58153725,144370,1.8863683,0.7975927,738287,10.781405,0.80123574,729690,10.529678,0.7988585,793384,11.177363,0.753849,584444,8.197484,0.76113445,573557,8.239948,0.6396695,173842,2.3663528,0.5712097,106156,1.4103109,0.99541986,1496099,24.044369,0.9919231,1147275,18.63565,0.8654985,365491,5.551027,0.8890253,518804,7.737179,0.7861172,253400,3.647555,0.96238893,505161,7.6603947,0.7497122,173914,2.449044,0.96155584,449758,6.9434314,0.97686875,3937388,62.66492,0.97504985,3486989,56.816795,0.9846252,6457780,104.31646,0.7617529,475144,6.670248,0.8404638,3057414,44.880005,0.80982447,1668830,25.875828,0.93082887,2218773,34.502785,0.85182965,1574740,24.604074,0.8622593,1446165,22.568554,0.975544,3016412,47.581486,0.9763403,3318704,53.519527,0.9718792,2085223,33.34112,0.9694188,1504082,23.763367,0.978402,4303570,68.78972,0.9756025,2203496,35.392612,0.97916025,2597871,41.49015,0.9796705,6074227,81.29706,0.9106191,1700366,25.293293,0.6046829,124052,1.6421992,0.99167335,1443382,23.008968,0.9863826,956870,15.091003,0.84473544,1589952,25.03308,0.86494786,3658086,50.633118,0.8059962,1466133,22.93104,0.8908485,1693721,26.26188,0.9286807,1741066,26.872723,0.97457063,664815,10.355214,0.20119257,0,0,0.15879226,0,0,0.18798995,0,0,0.023611065,0,0,0.021034813,0,0,0.9886404,12083453,186.41234
"CRr1A1B1C__bin_138",0.52657443,61665,1.5127023,0.41829437,0,0,0.56776667,54366,1.3539367,0.5137177,67310,1.5405098,0.41300547,0,0,0.5884852,85131,1.9536352,0.4971323,0,0,0.5236638,51009,1.2494112,0.59617734,63784,1.642003,0.39683402,0,0,0.528341,59034,1.3896667,0.6311694,89251,2.2725713,0.3103097,0,0,0.22686502,0,0,0.42838356,0,0,0.5078976,53956,1.2048265,0.57304555,66111,1.5688584,0.7018009,125542,3.3648455,0.977767,297212,8.848842,0.8992202,154645,4.30008,0.94609123,192965,5.6415935,0.4378566,0,0,0.36845252,0,0,0.7137385,79838,2.0293765,0.27315962,0,0,0.90610164,191376,5.242462,0.8740884,149655,3.843918,0.18818638,0,0,0.19272183,0,0,0.4084181,0,0,0.30980927,0,0,0.2056639,0,0,0.46675372,0,0,0.1625452,0,0,0.48016524,0,0,0.23182134,0,0,0.32812342,0,0,0.582075,64569,1.471897,0.6543525,75130,1.8638253,0.25739452,0,0,0.09288855,0,0,0.22274129,0,0,0.24704653,0,0,0.47942182,0,0,0.12960085,0,0,0.95820343,252801,7.425857,0.92240393,193292,5.4479012,0.92167723,185719,5.280784,0.115904875,0,0,0.4288985,0,0,0.34375384,0,0,0.51339847,49407,1.1836348,0.28065962,0,0,0.7626374,109965,2.521806,0.8363917,147778,4.209872,0.16789207,0,0,0.22301146,0,0,0.09094561,0,0,0.115733005,0,0,0.58399296,101507,1.8873172
