"","Host","baseMean","estimate","stderror","statistic","p.value","p.adjusted"
"1","MGr2D2E2F__bin_107",179250.875308361,6.30727720360846,1.6234926207644,9.51503922471619,0.00858688180018915,0.0462853872644342
"2","SEr2D2E2F__bin_42",47077.9567829849,-1.20739450875183,0.746831592021499,16.7777793455928,0.000227379604010546,0.0029559348521371
"3","CRr1A1B1C__bin_138",32821.1670831297,-0.222655883588008,0.514079813278811,11.3321292975658,0.00346146057049709,0.0231418909613051
"4","BOr2D2E2F__bin_32",730.637678792153,-0.80006696308241,0.424932664246971,10.8550555667562,0.00439394517043526,0.027744625219034
"5","SEr2D2E2F__bin_145",104629.611327477,0.929988181712284,0.617638003778569,11.8258191470907,0.00270430704921234,0.0192790921895461
"6","MGr2D2E2F__bin_116",125898.76469558,3.16673346141677,0.973650850605742,29.2227364251456,4.51194100232993e-07,1.42448423073559e-05
"7","MGr3G3H3I__bin_81",32920.7979162355,-2.52235401310407,0.957654290695576,19.5655889711483,5.64139276625721e-05,0.000890534143816317
"8","MHr2D2E2F__bin_126",8396.93544940269,-1.42220650275019,0.42536871200079,12.5756634727574,0.00185878591848111,0.0141652306201492
"9","LABRr1A1B1C__bin_96",5396.74627148626,0.207424202326158,0.476426193939046,9.92862575418221,0.00698274706654439,0.0406101868870082
"10","LASCr2D2E2F__bin_103",167.932028766442,-2.82890962851696,0.770318299302895,16.6015266782537,0.000248327196875439,0.0031360177433984
"11","BOr3G3H3I__bin_33",3950.78078946654,-1.4387149759001,0.417908824450253,19.7262903033174,5.20583604866566e-05,0.000852214642040824
"12","CRr3G3H3I__bin_51",38172.3591593065,-0.12246091334392,0.652616572438547,23.4623796213892,8.03912902637325e-06,0.000169204525221761
"13","MGr3G3H3I__bin_163",40162.3996213981,-1.2259526702513,0.678571929714851,12.8728872225876,0.00160209423087684,0.0126126087107332
"14","SEr3G3H3I__bin_7",82249.7018420195,-2.50848186751888,0.993119422680966,14.9675147575608,0.000562141264812342,0.00577828928016407
"15","LASAr3G3H3I__bin_9",514.395025049385,-1.09111444745329,0.359997100930672,9.93112383045025,0.00697403079378977,0.0406101868870082
"16","LASCr2D2E2F__bin_30",17941.3315805089,0.312932004767767,0.53108496721858,40.233640865073,1.83390102274662e-09,2.53224610670043e-07
"17","SEr3G3H3I__bin_121",199825.836102199,-2.89146840301986,0.644124455891267,36.6328533971855,1.10988237957149e-08,6.13210014713248e-07
"18","MGr3G3H3I__bin_48",146893.432725473,-0.217914109114009,0.609496672120156,22.4747707901663,1.31724188547496e-05,0.000253139527556492
"19","MGr1A1B1C__bin_68",615508.89385498,1.25818425296203,0.597927002590548,24.9036402936811,3.91059842095363e-06,9.09728685295529e-05
