Virus,Cluster,order,treatment,MeanZS,Title,Cluster.size,site
BAr1A1B1C_vRhyme_bin_10,1,55,DAM,-0.4787050524082126,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_bin_10,1,55,NAT,0.957410104816425,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_bin_10,1,55,REST,-0.4787050524082126,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_bin_13,1,22,DAM,-0.5757172399172926,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_bin_13,1,22,NAT,1.1514344798345855,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_bin_13,1,22,REST,-0.5757172399172926,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_bin_14,1,37,DAM,-0.6583489244641274,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_bin_14,1,37,NAT,1.0263170089060059,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_bin_14,1,37,REST,-0.36796808444187845,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_bin_15,1,59,DAM,-0.48530078454909803,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_bin_15,1,59,NAT,0.9706015690981961,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_bin_15,1,59,REST,-0.48530078454909803,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_bin_16,1,43,DAM,-0.7864210626193822,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_bin_16,1,43,NAT,1.0286684551528553,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_bin_16,1,43,REST,-0.24224739253347305,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_bin_20,1,33,DAM,-0.5905923463722543,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_bin_20,1,33,NAT,1.1811846927445087,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_bin_20,1,33,REST,-0.5905923463722543,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_bin_21,1,32,DAM,-0.5876489128048904,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_bin_21,1,32,NAT,1.1752978256097806,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_bin_21,1,32,REST,-0.5876489128048904,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_bin_22,1,76,DAM,-0.5215898061353059,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_bin_22,1,76,NAT,1.043179612270612,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_bin_22,1,76,REST,-0.5215898061353059,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_bin_23,1,250,DAM,-0.5851046997350904,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_bin_23,1,250,NAT,0.7827390698515738,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_bin_23,1,250,REST,-0.1976343701164836,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_bin_27,1,224,DAM,-0.43642082315566216,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_bin_27,1,224,NAT,0.8728416463113243,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_bin_27,1,224,REST,-0.43642082315566216,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_bin_3,1,240,DAM,-0.5028530760621825,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_bin_3,1,240,NAT,0.7950883433034492,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_bin_3,1,240,REST,-0.29223526724126675,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_bin_5,1,142,DAM,-0.3333333333333335,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_bin_5,1,142,NAT,0.666666666666667,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_bin_5,1,142,REST,-0.3333333333333335,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_bin_7,1,52,DAM,-0.7432558928467375,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_bin_7,1,52,NAT,1.101646705429807,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_bin_7,1,52,REST,-0.3583908125830694,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_unbinned_10,1,73,DAM,-0.5183009190230764,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_unbinned_10,1,73,NAT,1.0366018380461524,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_unbinned_10,1,73,REST,-0.5183009190230764,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_unbinned_13,1,127,DAM,-0.6638540454845933,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_unbinned_13,1,127,NAT,0.6106157844181717,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_unbinned_13,1,127,REST,0.05323826106642119,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_unbinned_14,1,42,DAM,-0.8417304630913915,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_unbinned_14,1,42,NAT,1.0362921765308273,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_unbinned_14,1,42,REST,-0.19456171343943582,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_unbinned_18,1,84,DAM,-0.5467911332602982,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_unbinned_18,1,84,NAT,1.0935822665205963,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_unbinned_18,1,84,REST,-0.5467911332602982,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_unbinned_19,1,229,DAM,-0.3923528976532323,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_unbinned_19,1,229,NAT,0.7847057953064646,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_unbinned_19,1,229,REST,-0.3923528976532323,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_unbinned_20,1,248,DAM,-0.6216413530522364,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_unbinned_20,1,248,NAT,0.8275958016398187,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_unbinned_20,1,248,REST,-0.20595444858758222,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_unbinned_23,1,51,DAM,-0.7798020313916775,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_unbinned_23,1,51,NAT,1.0895614730211878,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_unbinned_23,1,51,REST,-0.3097594416295103,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_unbinned_24,1,112,DAM,-0.5717948880905795,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_unbinned_24,1,112,NAT,0.6467524206033041,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_unbinned_24,1,112,REST,-0.07495753251272463,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_unbinned_30,1,104,DAM,-0.9291111349697387,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_unbinned_30,1,104,NAT,0.8893347164562213,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_unbinned_30,1,104,REST,0.039776418513517486,Natural-abundant,252,Balmoral
BAr1A1B1C_vRhyme_unbinned_32,1,3,DAM,-0.6357421193298509,Natural-abundant,252,Balmoral
