Genome	BAr1A.filtered Read Count	BAr1A.filtered.filtered Read Count	BAr1B.filtered Read Count	BAr1B.filtered.filtered Read Count	BAr1C.filtered Read Count	BAr1C.filtered.filtered Read Count	BAr2D.filtered Read Count	BAr2D.filtered.filtered Read Count	BAr2E.filtered Read Count	BAr2E.filtered.filtered Read Count	BAr2F.filtered Read Count	BAr2F.filtered.filtered Read Count	BAr3G.filtered Read Count	BAr3G.filtered.filtered Read Count	BAr3H.filtered Read Count	BAr3H.filtered.filtered Read Count	BAr3I.filtered Read Count	BOr1A.filtered Read Count	BOr1B.filtered Read Count	BOr1C.filtered Read Count	BOr2D.filtered Read Count	BOr2E.filtered Read Count	BOr2F.filtered Read Count	BOr3G.filtered Read Count	BOr3H.filtered Read Count	BOr3I.filtered Read Count	CRr1A.filtered Read Count	CRr1B.filtered Read Count	CRr1C.filtered Read Count	CRr2D.filtered Read Count	CRr2E.filtered Read Count	CRr2F.filtered Read Count	CRr3G.filtered Read Count	CRr3H.filtered Read Count	CRr3I.filtered Read Count	LABRr1A.filtered Read Count	LABRr1B.filtered Read Count	LABRr1C.filtered Read Count	LASAr3G.filtered Read Count	LASAr3H.filtered Read Count	LASAr3I.filtered Read Count	LASCr2D.filtered Read Count	LASCr2E.filtered Read Count	LASCr2F.filtered Read Count	LASYr2D.filtered Read Count	LASYr2E.filtered Read Count	LASYr2F.filtered Read Count	LAWAr2D.filtered Read Count	LAWAr2E.filtered Read Count	LAWAr2F.filtered Read Count	MGr1A.filtered Read Count	MGr1B.filtered Read Count	MGr1C.filtered Read Count	MGr2D.filtered Read Count	MGr2E.filtered Read Count	MGr2F.filtered Read Count	MGr3G.filtered Read Count	MGr3H.filtered Read Count	MGr3I.filtered Read Count	MHr1A.filtered Read Count	MHr1B.filtered Read Count	MHr1C.filtered Read Count	MHr2D.filtered Read Count	MHr2E.filtered Read Count	MHr2F.filtered Read Count	MHr3G.filtered Read Count	MHr3H.filtered Read Count	MHr3I.filtered Read Count	SEr2D.filtered Read Count	SEr2E.filtered Read Count	SEr2F.filtered Read Count	SEr3G.filtered Read Count	SEr3H.filtered Read Count	SEr3I.filtered Read Count
BAr1A1B1C_vRhyme_unbinned_57	3381	3381	4858	4858	2166	2166	151	151	2936	2936	1792	1792	209	209	254	254	178	492	142	234	420	257	212	181	187	140	940	1596	1313	1174	1284	769	1787	1059	1593	1529	1441	274	334	269	256	452	847	590	295	210	273	228	234	512	1457	515	423	1363	274	246	264	562	289	902	1311	872	145	257	132	337	404	3106	859	1338	1046	1891	1898	11998
LASCr2D2E2F_vRhyme_unbinned_97	63	63	187	187	25	25	23	23	35	35	20	20	6	6	20	20	26	29	9	13	12	7	34	19	12	19	101	41	33	590	439	311	328	272	196	448	297	354	13	21	8	709	1174	1374	22	12	21	697	153	614	197	353	147	98	182	103	172	212	234	90	55	76	26	15	11	34	102	217	73	17	90	62	52	800
MGr2D2E2F_vRhyme_unbinned_83	38	38	205	205	51	51	4	4	13	13	6	6	3	3	5	5	3	17	1	3	3	4	5	4	3	5	15	29	23	20	17	18	18	1	7	16	12	253	2	5	0	5	4	8	5	9	4	492	31	121	85	38	83	264	628	333	210	423	859	10	26	21	23	5	2	2	6	13	2	5	7	14	7	448
SEr3G3H3I_vRhyme_unbinned_89	5	5	4	4	0	0	1	1	3	3	6	6	2	2	4	4	2	14	3	1	15	2	13	10	4	4	2	3	5	1	11	2	4	3	2	1	3	3	5	3	4	5	4	3	6	2	4	6	2	7	6	1	2	0	1	1	5	14	6	3	7	6	1	1	4	3	6	11	34	86	4	180	230	1008
LASCr2D2E2F_vRhyme_unbinned_81	23	23	9	9	230	230	124	124	6298	6298	1485	1485	1	1	9	9	5	156	600	750	493	97	293	1487	1031	546	763	1594	1117	5	17	252	120	513	256	7	5	16	1503	201	414	7	599	30	638	1426	717	3	18	3	4	7	6	11	7	3	10	115	10	903	1426	757	3	24	7	191	43	88	194	1392	3190	222	194	94
LASCr2D2E2F_vRhyme_bin_16	11	11	6	6	9	9	23	23	18	18	13	13	6	6	14	14	11	15	3	11	21	9	10	1355	725	235	14	47	44	13	10	11	570	81	47	30	12	27	1303	634	723	834	4080	1423	131	632	39	40	95	205	244	305	241	47	27	17	12	53	21	18	30	34	7	36	14	390	73	36	6	8	8	13	18	86
BAr3G3H3I_vRhyme_unbinned_17	8	8	5	5	1	1	10	10	13	13	7	7	5	5	0	0	727	9	4	7	4	19	40	15	5	12	6	2	7	3	5	2	12	10	8	44	14	28	5	8	3	11	18	3	3	7	3	14	41	16	4	4	1	3	4	3	6	38	7	4	3	6	6	7	9	482	11	6	3	2	4	5	7	52
MGr1A1B1C_vRhyme_unbinned_16	2	2	0	0	0	0	0	0	1	1	0	0	1	1	5	5	2	1	1	1	0	2	1	0	0	0	0	0	2	1	1	0	2239	757	106	1	2	1	3	8	0	2	3	0	2	0	0	1	1	5	663	382	328	158	59	128	32	433	48	2	1	3	0	2	0	1	3	147	1	0	2	0	2	7
SEr3G3H3I_vRhyme_unbinned_69	157	157	11	11	64	64	5	5	7	7	6	6	3	3	10	10	5	7	4	8	12	9	6	7	2	2	8	3	10	22	19	67	9	4	5	4	6	3	6	6	6	3	1	5	6	7	6	4	8	5	3	5	6	4	14	3	6	23	12	7	4	9	6	5	1	3	3	2	3	14	9	2	3	2633
MGr1A1B1C_vRhyme_unbinned_7	6	6	7	7	3	3	22	22	24	24	21	21	5	5	16	16	22	13	14	15	29	16	18	30	20	23	11	21	23	10	15	26	21	17	12	3030	3341	279	16	15	9	22	26	16	21	18	21	16	17	22	13150	20	78	124	13	19	18	73	21	16	20	14	5	22	15	9	13	18	12	10	19	24	13	496
SEr3G3H3I_vRhyme_unbinned_162	5	5	2	2	2	2	4	4	1	1	3	3	1	1	1	1	0	2	0	2	5	4	3	3	1	2	1	4	3	1	2	2	1	2	2	2	4	1	6	2	0	4	0	3	4	2	2	3	1	2	5	2	1	6	1	1	3	11	5	2	7	0	3	4	2	1	0	4	4	4	1	172	15	2200
SEr3G3H3I_vRhyme_unbinned_207	20	20	23	23	18	18	0	0	2	2	7	7	1	1	1	1	3	299	6	24	34	65	6	6	2	5	18	2	1	78	134	12	7	4	6	2	6	3	13	15	7	45	29	22	10	21	7	17	49	100	6	6	14	32	10	16	6	12	53	22	1	4	14	17	13	39	46	17	49	23	11	180	291	1712
LAWAr2D2E2F_vRhyme_unbinned_78	170	170	488	488	57	57	18	18	205	205	41	41	16	16	36	36	22	99	28	20	92	149	37	59	31	22	119	44	59	527	2264	225	2086	917	558	33	34	497	58	275	33	232	132	68	70	54	87	11052	5549	10314	50	24	24	232	270	329	826	2464	1184	105	45	48	28	153	44	25	168	964	2022	3233	2546	92	56	1326
LABRr1A1B1C_vRhyme_unbinned_64	5	5	1	1	6	6	6	6	7	7	3	3	3	3	8	8	4	6	4	10	5	5	8	7	5	6	6	6	11	4	13	4	12	7	6	685	701	147	9	11	12	136	110	37	18	14	45	22	11	1055	5	4	8	8	99	2	52	22	1011	13	4	9	23	32	28	14	609	10	5	10	3	17	14	273
SEr3G3H3I_vRhyme_unbinned_229	47	47	46	46	79	79	21	21	17	17	16	16	8	8	22	22	18	52	123	117	201	132	175	99	162	201	242	76	55	129	373	29	108	87	208	102	102	205	105	103	44	162	672	392	43	116	93	300	136	651	90	171	213	111	86	38	67	99	41	264	75	53	138	250	119	292	177	221	18	14	9	1143	6477	14402
SEr3G3H3I_vRhyme_unbinned_118	4	4	3	3	2	2	5	5	8	8	7	7	1	1	13	13	3	8	5	3	4	5	3	4	10	10	3	4	4	4	5	3	2	5	4	1	4	5	4	4	1	4	4	5	6	5	5	1	6	6	2	1	7	4	2	1	3	15	5	3	10	3	2	7	4	9	2	5	13	4	5	144	228	1373
MGr1A1B1C_vRhyme_unbinned_80	3	3	11	11	4	4	4	4	2	2	12	12	4	4	6	6	5	9	6	6	6	5	15	8	7	3	0	8	2	9	9	14	23	17	9	49	33	26	11	39	12	54	20	25	41	20	12	38	63	63	74	805	239	28	76	44	43	49	55	13	12	14	8	10	8	22	10	27	5	6	10	11	15	74
BOr1A1B1C_vRhyme_unbinned_15	0	0	0	0	0	0	1	1	5	5	0	0	1	1	1	1	0	289	161	1250	4	7	10	377	316	39	2	3	5	0	1	2	2	1	7	1	0	2	51	3	48	0	233	3	112	68	2	8	0	4	2	4	2	4	1	1	2	9	4	2	4	5	2	170	1	4	3	1	1	2	0	1	5	5
CRr3G3H3I_vRhyme_bin_12	92	92	335	335	73	73	32	32	66	66	240	240	10	10	102	102	19	122	91	194	184	232	127	29	29	35	954	1777	843	3220	628	487	2558	987	4081	69	69	49	123	523	113	293	135	174	126	38	107	106	65	1193	1742	1773	795	2548	2109	1566	1446	3640	1115	755	1488	825	35	46	47	137	893	5443	10512	3510	908	3990	4175	8743
LABRr1A1B1C_vRhyme_unbinned_90	3	3	0	0	3	3	3	3	1	1	4	4	2	2	4	4	4	2	3	3	2	5	2	3	0	7	3	5	2	2	5	1	3	2	3	427	439	82	10	8	10	105	44	20	4	11	38	4	10	608	2	5	5	5	74	2	22	16	685	2	1	3	15	15	14	3	343	2	2	1	2	4	5	123
LABRr1A1B1C_vRhyme_unbinned_98	71	71	375	375	33	33	8	8	7	7	151	151	3	3	1	1	1	88	44	23	167	130	236	74	82	36	19	273	260	124	159	37	93	31	80	2307	1915	2286	152	1781	954	682	396	660	2155	685	609	674	538	1317	591	1224	576	282	765	478	588	1103	81	7	283	181	303	1160	1568	585	297	107	6	5	2	2	2	4482
SEr2D2E2F_vRhyme_unbinned_71	48	48	12	12	15	15	8	8	10	10	7	7	9	9	7	7	7	102	30	20	83	174	59	165	61	70	29	27	16	8	23	16	106	49	26	16	9	12	42	84	18	80	75	32	54	45	184	172	102	37	11	6	8	8	8	3	25	97	35	22	25	43	7	11	4	16	18	56	251	945	722	1045	1098	2096
BAr1A1B1C_vRhyme_unbinned_27	467	467	361	361	961	961	120	120	223	223	18	18	69	69	130	130	94	126	28	85	156	131	83	40	17	20	505	112	316	44	341	112	35	104	150	9	4	15	23	14	9	10	23	6	22	38	21	26	44	13	27	59	42	6	12	23	37	129	22	281	150	156	5	14	4	7	9	103	9	10	385	17	7	50
BOr3G3H3I_vRhyme_unbinned_3	158	158	449	449	819	819	21	21	216	216	2922	2922	1	1	26	26	0	663	422	390	19	44	287	763	469	211	41	178	103	171	419	509	691	1440	542	4	0	5	182	58	2	3	366	17	20	251	448	4	18	4	87	12	19	162	107	681	221	415	24	13	126	80	51	10	5	2	5	571	12863	6251	13753	88	75	196
