Genome,Sample,site,treatment,Genomad realm,Genomad kingdom,Genomad phylum,Genomad class,Genomad order,Genomad family,checkv_quality,lytic_state,Host Domain,Host Phylum,Host Class,Host Order,Host Family,Host Genus
BAr1A1B1C_vRhyme_bin_10,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_virus,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Koribacteraceae,Bog-257
BAr1A1B1C_vRhyme_bin_11,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Medium-quality,lytic_virus,,,,,,
BAr1A1B1C_vRhyme_bin_12,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Medium-quality,lytic_virus,,,,,,
BAr1A1B1C_vRhyme_bin_13,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,High-quality,lytic_virus,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209
BAr1A1B1C_vRhyme_bin_14,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,High-quality,lytic_virus,,,,,,
BAr1A1B1C_vRhyme_bin_15,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Medium-quality,lytic_virus,,,,,,
BAr1A1B1C_vRhyme_bin_16,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_virus,,,,,,
BAr1A1B1C_vRhyme_bin_17,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Medium-quality,lytic_virus,,,,,,
BAr1A1B1C_vRhyme_bin_18,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Medium-quality,lytic_virus,,,,,,
BAr1A1B1C_vRhyme_bin_19,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_virus,,,,,,
BAr1A1B1C_vRhyme_bin_2,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,High-quality,lysogenic_virus,,,,,,
BAr1A1B1C_vRhyme_bin_20,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,High-quality,lytic_virus,,,,,,
BAr1A1B1C_vRhyme_bin_21,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,High-quality,lytic_virus,Bacteria,Desulfobacterota,Syntrophobacteria,Syntrophobacterales,Syntrophobacteraceae,SbD1
BAr1A1B1C_vRhyme_bin_22,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Medium-quality,lysogenic_virus,,,,,,
BAr1A1B1C_vRhyme_bin_23,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,High-quality,lytic_virus,,,,,,
BAr1A1B1C_vRhyme_bin_24,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Medium-quality,lytic_virus,Bacteria,Desulfobacterota_F,Desulfuromonadia,Geobacterales,Geobacteraceae,Geomonas
BAr1A1B1C_vRhyme_bin_25,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Medium-quality,lysogenic_virus,,,,,,
BAr1A1B1C_vRhyme_bin_26,BAr1A1B1C,Balmoral,NAT,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,Low-quality,lytic_virus,,,,,,
BAr1A1B1C_vRhyme_bin_27,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Medium-quality,lytic_virus,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocella
BAr1A1B1C_vRhyme_bin_28,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_virus,Bacteria,Eremiobacterota,Eremiobacteria,Baltobacterales,Baltobacteraceae,
BAr1A1B1C_vRhyme_bin_3,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Medium-quality,lysogenic_virus,Bacteria,Planctomycetota,Planctomycetia,Isosphaerales,Isosphaeraceae,
BAr1A1B1C_vRhyme_bin_4,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Medium-quality,lytic_virus,,,,,,
BAr1A1B1C_vRhyme_bin_5,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,High-quality,lytic_virus,,,,,,
BAr1A1B1C_vRhyme_bin_7,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,High-quality,lytic_virus,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Bog-375
BAr1A1B1C_vRhyme_unbinned_1,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,Bacteria,Desulfobacterota_B,Binatia,Binatales,Binataceae,Binatus
BAr1A1B1C_vRhyme_unbinned_10,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lysogenic_scaffold,,,,,,
BAr1A1B1C_vRhyme_unbinned_11,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
BAr1A1B1C_vRhyme_unbinned_12,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
BAr1A1B1C_vRhyme_unbinned_13,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
BAr1A1B1C_vRhyme_unbinned_14,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,BOG-931
BAr1A1B1C_vRhyme_unbinned_15,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,High-quality,lytic_scaffold,,,,,,
BAr1A1B1C_vRhyme_unbinned_16,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocella
BAr1A1B1C_vRhyme_unbinned_17,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lysogenic_scaffold,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Palsa-465
BAr1A1B1C_vRhyme_unbinned_18,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographiviridae,,Not-determined,lytic_scaffold,,,,,,
BAr1A1B1C_vRhyme_unbinned_19,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Not-determined,lytic_scaffold,,,,,,
BAr1A1B1C_vRhyme_unbinned_2,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
BAr1A1B1C_vRhyme_unbinned_20,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
BAr1A1B1C_vRhyme_unbinned_21,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Not-determined,lytic_scaffold,,,,,,
BAr1A1B1C_vRhyme_unbinned_22,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lysogenic_scaffold,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209
