Genome	BAr1A.filtered Trimmed Mean	BAr1A.filtered.filtered Trimmed Mean	BAr1B.filtered Trimmed Mean	BAr1B.filtered.filtered Trimmed Mean	BAr1C.filtered Trimmed Mean	BAr1C.filtered.filtered Trimmed Mean	BAr2D.filtered Trimmed Mean	BAr2D.filtered.filtered Trimmed Mean	BAr2E.filtered Trimmed Mean	BAr2E.filtered.filtered Trimmed Mean	BAr2F.filtered Trimmed Mean	BAr2F.filtered.filtered Trimmed Mean	BAr3G.filtered Trimmed Mean	BAr3G.filtered.filtered Trimmed Mean	BAr3H.filtered Trimmed Mean	BAr3H.filtered.filtered Trimmed Mean	BAr3I.filtered Trimmed Mean	BOr1A.filtered Trimmed Mean	BOr1B.filtered Trimmed Mean	BOr1C.filtered Trimmed Mean	BOr2D.filtered Trimmed Mean	BOr2E.filtered Trimmed Mean	BOr2F.filtered Trimmed Mean	BOr3G.filtered Trimmed Mean	BOr3H.filtered Trimmed Mean	BOr3I.filtered Trimmed Mean	CRr1A.filtered Trimmed Mean	CRr1B.filtered Trimmed Mean	CRr1C.filtered Trimmed Mean	CRr2D.filtered Trimmed Mean	CRr2E.filtered Trimmed Mean	CRr2F.filtered Trimmed Mean	CRr3G.filtered Trimmed Mean	CRr3H.filtered Trimmed Mean	CRr3I.filtered Trimmed Mean	LABRr1A.filtered Trimmed Mean	LABRr1B.filtered Trimmed Mean	LABRr1C.filtered Trimmed Mean	LASAr3G.filtered Trimmed Mean	LASAr3H.filtered Trimmed Mean	LASAr3I.filtered Trimmed Mean	LASCr2D.filtered Trimmed Mean	LASCr2E.filtered Trimmed Mean	LASCr2F.filtered Trimmed Mean	LASYr2D.filtered Trimmed Mean	LASYr2E.filtered Trimmed Mean	LASYr2F.filtered Trimmed Mean	LAWAr2D.filtered Trimmed Mean	LAWAr2E.filtered Trimmed Mean	LAWAr2F.filtered Trimmed Mean	MGr1A.filtered Trimmed Mean	MGr1B.filtered Trimmed Mean	MGr1C.filtered Trimmed Mean	MGr2D.filtered Trimmed Mean	MGr2E.filtered Trimmed Mean	MGr2F.filtered Trimmed Mean	MGr3G.filtered Trimmed Mean	MGr3H.filtered Trimmed Mean	MGr3I.filtered Trimmed Mean	MHr1A.filtered Trimmed Mean	MHr1B.filtered Trimmed Mean	MHr1C.filtered Trimmed Mean	MHr2D.filtered Trimmed Mean	MHr2E.filtered Trimmed Mean	MHr2F.filtered Trimmed Mean	MHr3G.filtered Trimmed Mean	MHr3H.filtered Trimmed Mean	MHr3I.filtered Trimmed Mean	SEr2D.filtered Trimmed Mean	SEr2E.filtered Trimmed Mean	SEr2F.filtered Trimmed Mean	SEr3G.filtered Trimmed Mean	SEr3H.filtered Trimmed Mean	SEr3I.filtered Trimmed Mean
BAr1A1B1C_vRhyme_unbinned_57	11.654401	11.654401	17.02528	17.02528	7.625753	7.625753	0.2520378	0.2520378	9.620732	9.620732	6.0656824	6.0656824	0.5128766	0.5128766	0.6223863	0.6223863	0.4042528	1.4621087	0.27764323	0.56066155	1.1076787	0.6225635	0.47427642	0.3673361	0.42764324	0.2810691	3.1389544	5.351211	4.3688126	4.0499706	4.3080626	2.4297106	5.8844066	3.3432074	5.3624926	4.656586	4.4362373	0.7304489	0.8414353	0.6129356	0.6756054	1.2603958	2.55127	1.7174838	0.72288835	0.51721793	0.68428826	0.54651505	0.5851447	1.470821	4.409244	1.4614589	1.1843178	3.9919374	0.67852926	0.67164797	0.6615771	1.1793267	0.4984938	2.8919964	4.251979	2.8279681	0.33095098	0.51367396	0.28428826	0.9198464	1.0355287	10.444595	2.7345245	4.344182	3.0506496	5.896338	5.732457	37.77856
LASCr2D2E2F_vRhyme_unbinned_97	0.24232103	0.24232103	1.2891833	1.2891833	0.05253863	0.05253863	0.020939767	0.020939767	0.04213182	0.04213182	0	0	0	0	0.022075055	0.022075055	0.040239673	0.06136865	0	0	0	0	0.10715862	0.0059918007	0	0	0.47940713	0.16600442	0.1072217	4.469126	3.2094607	2.2157679	2.1766634	1.859918	1.1800063	3.2188585	2.1861243	2.4775782	0	0	0	5.347777	9.112205	10.608262	0	0	0	5.081173	0.94916433	4.5003467	1.3473983	2.536739	0.9434879	0.54935354	1.2155787	0.6266793	1.0373384	0.98927784	1.5496058	0.5328918	0.23670766	0.364743	0.076001264	0	0	0.06988332	0.5187638	1.3270892	0.3680227	0.037906025	0.53156734	0.17117628	0.099526964	5.5113215
MGr2D2E2F_vRhyme_unbinned_83	0.20882274	0.20882274	2.004483	2.004483	0.32125884	0.32125884	0	0	0.010131803	0.010131803	0	0	0	0	0	0	0	0.052452255	0	0	0	0	0	0	0	0	0.072536536	0.13942437	0.07415045	0.063839324	0.037837353	0.047431186	0	0	0.007083296	0.03855465	0.025105353	2.5901551	0	0	0	0	0	0	0	0	0	5.1497355	0.17080607	1.1173675	0.7791626	0.25948176	0.77871424	2.7477808	6.5879135	3.7558506	2.1577153	3.5205774	9.054873	0.00591769	0.084999554	0.08697212	0.124988794	0	0	0	0	0.007352282	0	0	0	0.0055590426	0	4.485161
SEr3G3H3I_vRhyme_unbinned_89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04044194	0	0.006045445	0	0	0	0	0	0	0	0.045549303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2905983	0.9093183	0	1.9548676	2.630811	11.56233
LASCr2D2E2F_vRhyme_unbinned_81	0.16194768	0.16194768	0.014499853	0.014499853	2.632899	2.632899	1.1266778	1.1266778	71.60606	71.60606	16.927305	16.927305	0	0	0.015479573	0.015479573	0	1.6147742	6.6165376	8.795435	5.604487	0.9696287	3.1066916	17.007936	12.190164	6.142745	8.888508	18.749388	13.250906	0	0.061918292	2.8221807	1.2815715	5.998824	2.870383	0	0	0.083178215	16.965319	2.1908493	4.9605174	0	7.059175	0.22788283	7.0325265	16.419516	7.870873	0	0.02870579	0	0	0	0.0032330754	0.017536985	0	0	0.016655236	0.85568726	0.016851181	10.335848	16.39032	8.79132	0	0.05457039	0	2.2501225	0.3349662	0.8454982	2.1207995	16.478594	37.5604	2.3137064	1.9816792	0.82080925
LASCr2D2E2F_vRhyme_bin_16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.870174	1.5576274	0.3885069	0	0.006476067	0	0	0	0	1.0960934	0.040723033	0	0	0	0	2.6962914	1.1991962	1.3481648	1.7819089	9.3193655	3.1661873	0.15333042	1.2142626	0	0	0.07940801	0.24193825	0.42439193	0.546142	0.40715414	0.0063998783	0	0	0	0	0	0	0	0	0	0	0	0.54578006	0.01958058	0	0	0	0	0	0	0
BAr3G3H3I_vRhyme_unbinned_17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.828648	0	0	0	0	0	0.33119327	0	0	0	0	0	0	0	0	0	0	0	0	0.2914545	0.06375913	0.15043171	0	0	0	0	0.040956385	0	0	0	0	0.05390746	0.28636262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.3283153	0.018375028	0	0	0	0	0	0	0.28968343
MGr1A1B1C_vRhyme_unbinned_16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.147316	6.3441486	0.7483469	0	0	0	0	0.009687836	0	0	0	0	0	0	0	0	0	0	5.7884054	3.316008	2.7747195	1.1861448	0.3073197	1.0371367	0.14877748	3.038982	0.21113332	0	0	0	0	0	0	0	0	1.0898046	0	0	0	0	0	0
SEr3G3H3I_vRhyme_unbinned_69	1.253189	1.253189	0.009466507	0.009466507	0.52659446	0.52659446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12555155	0.04155636	0.47613317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025190534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0325712	0	0	0	21.573847
MGr1A1B1C_vRhyme_unbinned_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.231888	9.561455	0.58830684	0	0	0	0	0	0	0	0	0	0	0	0	40.736168	0	0.0886108	0.21337014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9505269
