Virus,Sample,Virus_Abundance,site,treatment,Virus Trend Group,Virus Sample,Host,Host Sample,Host Domain,Host Phylum,Host Class,Host Order,Host Family,Host Genus,Host_Abundance,Label,Host Trend Group,virus_host_ratio,lysogenic
SEr3G3H3I_vRhyme_unbinned_69,BAr1A,1.253189,Balmoral,Natural,Natural-abundant,SEr3G3H3I,SEr3G3H3I__bin_272,SEr3G3H3I,Bacteria,Armatimonadota,Armatimonadia,Armatimonadales,Capsulimonadaceae,Unknown,1.0725299,B; Armatimonadota; Capsulimonadaceae,Natural-abundant,1.1684420173274426,FALSE
BAr2D2E2F_vRhyme_unbinned_62,BAr1A,6.271825,Balmoral,Natural,Natural-abundant,BAr2D2E2F,CRr2D2E2F__bin_75,CRr2D2E2F,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,7.5419507,B; Acidobacteriota; SbA1,Natural-abundant,0.83159188510739,TRUE
BAr2D2E2F_vRhyme_unbinned_62,BAr1A,6.271825,Balmoral,Natural,Natural-abundant,BAr2D2E2F,LASYr2D2E2F__bin_31,LASYr2D2E2F,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,6.3948293,B; Acidobacteriota; SbA1,Natural-abundant,0.9807650377782563,TRUE
BAr2D2E2F_vRhyme_unbinned_62,BAr1A,6.271825,Balmoral,Natural,Natural-abundant,BAr2D2E2F,CRr1A1B1C__bin_118,CRr1A1B1C,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,2.1118684,B; Acidobacteriota; SbA1,Restored-abundant,2.9697991598340123,TRUE
CRr2D2E2F_vRhyme_unbinned_12,BAr1A,1.1940542,Balmoral,Natural,Natural-abundant,CRr2D2E2F,CRr2D2E2F__bin_5,CRr2D2E2F,Bacteria,Desulfobacterota,Syntrophobacteria,Syntrophobacterales,Syntrophobacteraceae,SbD1,6.8691382,B; Desulfobacterota; Syntrophobacteraceae,NA,0.1738288217872804,TRUE
SEr2D2E2F_vRhyme_unbinned_46,BAr1A,1.105565,Balmoral,Natural,Restored-abundant,SEr2D2E2F,CRr3G3H3I__bin_129,CRr3G3H3I,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Koribacteraceae,Bog-257,1.1393247,B; Acidobacteriota; Koribacteraceae,NA,0.9703686754092139,FALSE
BAr2D2E2F_vRhyme_unbinned_15,BAr1A,5.3405013,Balmoral,Natural,NA,BAr2D2E2F,BOr2D2E2F__bin_74,BOr2D2E2F,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Palsa-504,3.3204365,B; Actinomycetota; Streptosporangiaceae,Damaged-abundant,1.6083732665870887,FALSE
BAr2D2E2F_vRhyme_unbinned_15,BAr1A,5.3405013,Balmoral,Natural,NA,BAr2D2E2F,CRr1A1B1C__bin_120,CRr1A1B1C,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Palsa-504,2.1700108,B; Actinomycetota; Streptosporangiaceae,Damaged-abundant,2.4610482583773314,FALSE
BAr2D2E2F_vRhyme_unbinned_15,BAr1A,5.3405013,Balmoral,Natural,NA,BAr2D2E2F,MGr2D2E2F__bin_108,MGr2D2E2F,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Palsa-504,3.6190112,B; Actinomycetota; Streptosporangiaceae,Damaged-abundant,1.4756796828923877,FALSE
BAr2D2E2F_vRhyme_unbinned_15,BAr1A,5.3405013,Balmoral,Natural,NA,BAr2D2E2F,LABRr1A1B1C__bin_44,LABRr1A1B1C,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Palsa-504,7.9692264,B; Actinomycetota; Streptosporangiaceae,Damaged-abundant,0.6701404919303082,FALSE
SEr2D2E2F_vRhyme_unbinned_41,BAr1A,1.2814366,Balmoral,Natural,Natural-abundant,SEr2D2E2F,SEr3G3H3I__bin_103,SEr3G3H3I,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,Thermoguttaceae,Unknown,1.2021377,B; Planctomycetota; Thermoguttaceae,Natural-abundant,1.0659649056842655,FALSE
BOr2D2E2F_vRhyme_unbinned_25,BAr1A,6.752948,Balmoral,Natural,Natural-abundant,BOr2D2E2F,BAr2D2E2F__bin_57,BAr2D2E2F,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,2.5226445,B; Acidobacteriota; SbA1,NA,2.676932084564432,FALSE
BOr2D2E2F_vRhyme_unbinned_25,BAr1A,6.752948,Balmoral,Natural,Natural-abundant,BOr2D2E2F,BOr2D2E2F__bin_33,BOr2D2E2F,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,10.947704,B; Acidobacteriota; SbA1,Natural-abundant,0.6168369184990753,FALSE
CRr3G3H3I_vRhyme_unbinned_88,BAr1A,1.2525666,Balmoral,Natural,Natural-abundant,CRr3G3H3I,SEr2D2E2F__bin_92,SEr2D2E2F,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,8.062208,B; Pseudomonadota; Beijerinckiaceae,NA,0.15536272445464072,TRUE
CRr3G3H3I_vRhyme_unbinned_88,BAr1A,1.2525666,Balmoral,Natural,Natural-abundant,CRr3G3H3I,LASAr3G3H3I__bin_35,LASAr3G3H3I,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,5.238031,B; Pseudomonadota; Beijerinckiaceae,Natural-abundant,0.2391292835036677,TRUE
