site,Trend_Group,Abundance,total_abundance,relative_abundance,Type
Balmoral,Damaged,1262.5769052400003,7424.290263289998,0.1700602832681413,Virus
Balmoral,Natural,3817.875382529998,7424.290263289998,0.5142411257016433,Virus
Balmoral,Restored,2343.8379755199994,7424.290263289998,0.3156985910302154,Virus
Bowness,Damaged,1442.5477622400006,3727.0766201000006,0.38704537343299794,Virus
Bowness,Natural,557.4701232699998,3727.0766201000006,0.1495730246766546,Virus
Bowness,Restored,1727.0587345900003,3727.0766201000006,0.4633816018903475,Virus
Crocach,Damaged,2226.92888539,8320.541756039998,0.2676422942981376,Virus
Crocach,Natural,1981.6669780199989,8320.541756039998,0.23816561903333747,Virus
Crocach,Restored,4111.9458926299985,8320.541756039998,0.4941920866685248,Virus
Langwell,Damaged,3446.261641020002,14093.051596230003,0.24453622535107322,Virus
Langwell,Natural,6502.44449814,14093.051596230003,0.4613936487594676,Virus
Langwell,Restored,4144.345457070001,14093.051596230003,0.29407012588945924,Virus
Migneint,Damaged,3598.7465409200017,5885.153361180002,0.6114957962961963,Virus
Migneint,Natural,2286.4068202600006,5885.153361180002,0.3885042037038037,Virus
Migneint,Restored,0,5885.153361180002,0,Virus
Moor_House,Damaged,2823.731520040001,10126.72458152001,0.2788395692317883,Virus
Moor_House,Natural,3184.2049985000026,10126.72458152001,0.31443582501599515,Virus
Moor_House,Restored,4118.788062980006,10126.72458152001,0.40672460575221653,Virus
Stean,Damaged,8386.709062250005,12638.423006120007,0.6635882544989071,Virus
Stean,Restored,4251.713943870001,12638.423006120007,0.3364117455010928,Virus
Balmoral,Damaged,746.5708311599999,3135.6383008200014,0.23809213931490886,Host
Balmoral,Natural,1787.8206044600013,3135.6383008200014,0.5701616171713644,Host
Balmoral,Restored,601.2468652000002,3135.6383008200014,0.1917462435137267,Host
Bowness,Damaged,1509.3330592000013,2596.1216384500012,0.581379946473209,Host
Bowness,Restored,1086.7885792499999,2596.1216384500012,0.418620053526791,Host
Crocach,Damaged,1812.0326068999998,5323.5122462300005,0.3403829132135919,Host
Crocach,Natural,1979.7069404300007,5323.5122462300005,0.37187985090707504,Host
Crocach,Restored,1531.7726989,5323.5122462300005,0.2877372358793331,Host
Langwell,Damaged,2202.329503450001,6236.1972739500015,0.35315263560529536,Host
Langwell,Natural,2522.1838646,6236.1972739500015,0.40444260401057697,Host
Langwell,Restored,1511.6839059000006,6236.1972739500015,0.24240476038412773,Host
Migneint,Damaged,621.0256277000002,2601.6703324400005,0.2387026595785353,Host
Migneint,Natural,575.1412974400001,2601.6703324400005,0.22106617055535954,Host
Migneint,Restored,1405.5034073000004,2601.6703324400005,0.5402311698661052,Host
Moor_House,Damaged,1810.3719103600008,4633.314433449999,0.3907293442659761,Host
Moor_House,Natural,1116.7395812899995,4633.314433449999,0.2410239143770925,Host
Moor_House,Restored,1706.2029417999997,4633.314433449999,0.36824674135693153,Host
Stean,Damaged,1180.8460483999997,4308.4330078,0.274077848317983,Host
Stean,Natural,3127.5869594000005,4308.4330078,0.725922151682017,Host
All sites,Damaged,9882.509587170003,28834.887233140005,0.34272752680690255,Host
All sites,Damaged,23187.50231710001,62215.26118448002,0.3726979823864225,Virus
All sites,Natural,11109.179247620003,28834.887233140005,0.38526869058992524,Host
All sites,Natural,18330.06880072,62215.26118448002,0.29462335208025375,Virus
All sites,Restored,7843.198398350001,28834.887233140005,0.27200378260317226,Host
All sites,Restored,20697.690066660005,62215.26118448002,0.3326786655333237,Virus
