"","BAr1A Covered Fraction","BAr1A Read Count","BAr1A Trimmed Mean","BAr1B Covered Fraction","BAr1B Read Count","BAr1B Trimmed Mean","BAr1C Covered Fraction","BAr1C Read Count","BAr1C Trimmed Mean","BAr2D Covered Fraction","BAr2D Read Count","BAr2D Trimmed Mean","BAr2E Covered Fraction","BAr2E Read Count","BAr2E Trimmed Mean","BAr2F Covered Fraction","BAr2F Read Count","BAr2F Trimmed Mean","BAr3G Covered Fraction","BAr3G Read Count","BAr3G Trimmed Mean","BAr3H Covered Fraction","BAr3H Read Count","BAr3H Trimmed Mean","BAr3I Covered Fraction","BAr3I Read Count","BAr3I Trimmed Mean","BOr1A Covered Fraction","BOr1A Read Count","BOr1A Trimmed Mean","BOr1B Covered Fraction","BOr1B Read Count","BOr1B Trimmed Mean","BOr1C Covered Fraction","BOr1C Read Count","BOr1C Trimmed Mean","BOr2D Covered Fraction","BOr2D Read Count","BOr2D Trimmed Mean","BOr2E Covered Fraction","BOr2E Read Count","BOr2E Trimmed Mean","BOr2F Covered Fraction","BOr2F Read Count","BOr2F Trimmed Mean","BOr3G Covered Fraction","BOr3G Read Count","BOr3G Trimmed Mean","BOr3H Covered Fraction","BOr3H Read Count","BOr3H Trimmed Mean","BOr3I Covered Fraction","BOr3I Read Count","BOr3I Trimmed Mean","CRr1A Covered Fraction","CRr1A Read Count","CRr1A Trimmed Mean","CRr1B Covered Fraction","CRr1B Read Count","CRr1B Trimmed Mean","CRr1C Covered Fraction","CRr1C Read Count","CRr1C Trimmed Mean","CRr2D Covered Fraction","CRr2D Read Count","CRr2D Trimmed Mean","CRr2E Covered Fraction","CRr2E Read Count","CRr2E Trimmed Mean","CRr2F Covered Fraction","CRr2F Read Count","CRr2F Trimmed Mean","CRr3G Covered Fraction","CRr3G Read Count","CRr3G Trimmed Mean","CRr3H Covered Fraction","CRr3H Read Count","CRr3H Trimmed Mean","CRr3I Covered Fraction","CRr3I Read Count","CRr3I Trimmed Mean","LABRr1A Covered Fraction","LABRr1A Read Count","LABRr1A Trimmed Mean","LABRr1B Covered Fraction","LABRr1B Read Count","LABRr1B Trimmed Mean","LABRr1C Covered Fraction","LABRr1C Read Count","LABRr1C Trimmed Mean","LASAr3G Covered Fraction","LASAr3G Read Count","LASAr3G Trimmed Mean","LASAr3H Covered Fraction","LASAr3H Read Count","LASAr3H Trimmed Mean","LASAr3I Covered Fraction","LASAr3I Read Count","LASAr3I Trimmed Mean","LASCr2D Covered Fraction","LASCr2D Read Count","LASCr2D Trimmed Mean","LASCr2E Covered Fraction","LASCr2E Read Count","LASCr2E Trimmed Mean","LASCr2F Covered Fraction","LASCr2F Read Count","LASCr2F Trimmed Mean","MGr1A Covered Fraction","MGr1A Read Count","MGr1A Trimmed Mean","MGr1B Covered Fraction","MGr1B Read Count","MGr1B Trimmed Mean","MGr1C Covered Fraction","MGr1C Read Count","MGr1C Trimmed Mean","MGr2D Covered Fraction","MGr2D Read Count","MGr2D Trimmed Mean","MGr2E Covered Fraction","MGr2E Read Count","MGr2E Trimmed Mean","MGr2F Covered Fraction","MGr2F Read Count","MGr2F Trimmed Mean","MGr3G Covered Fraction","MGr3G Read Count","MGr3G Trimmed Mean","MGr3H Covered Fraction","MGr3H Read Count","MGr3H Trimmed Mean","MGr3I Covered Fraction","MGr3I Read Count","MGr3I Trimmed Mean","MHr1A Covered Fraction","MHr1A Read Count","MHr1A Trimmed Mean","MHr1B Covered Fraction","MHr1B Read Count","MHr1B Trimmed Mean","MHr1C Covered Fraction","MHr1C Read Count","MHr1C Trimmed Mean","MHr2D Covered Fraction","MHr2D Read Count","MHr2D Trimmed Mean","MHr2E Covered Fraction","MHr2E Read Count","MHr2E Trimmed Mean","MHr2F Covered Fraction","MHr2F Read Count","MHr2F Trimmed Mean","MHr3G Covered Fraction","MHr3G Read Count","MHr3G Trimmed Mean","MHr3H Covered Fraction","MHr3H Read Count","MHr3H Trimmed Mean","MHr3I Covered Fraction","MHr3I Read Count","MHr3I Trimmed Mean","SEr2D Covered Fraction","SEr2D Read Count","SEr2D Trimmed Mean","SEr2E Covered Fraction","SEr2E Read Count","SEr2E Trimmed Mean","SEr2F Covered Fraction","SEr2F Read Count","SEr2F Trimmed Mean","SEr3G Covered Fraction","SEr3G Read Count","SEr3G Trimmed Mean","SEr3H Covered Fraction","SEr3H Read Count","SEr3H Trimmed Mean","SEr3I Covered Fraction","SEr3I Read Count","SEr3I Trimmed Mean"
"BAr1A1B1C_vRhyme_unbinned_57",0.99528754,3381,11.654401,0.9997882,4858,17.02528,0.9309277,2166,7.625753,0.18317802,0,0,0.97082496,2936,9.620732,0.95067775,1792,6.0656824,0.2769247,0,0,0.31234777,0,0,0.25516257,0,0,0.5981944,492,1.4621087,0.2097056,0,0,0.29699248,0,0,0.41162765,0,0,0.32550567,0,0,0.23520067,0,0,0.21653606,0,0,0.26813513,0,0,0.21778037,0,0,0.8440379,940,3.1389544,0.8850207,1596,5.351211,0.7862438,1313,4.3688126,0.88917714,1174,4.0499706,0.8937573,1284,4.3080626,0.71820396,769,2.4297106,0.92155564,1787,5.8844066,0.77393305,1059,3.3432074,0.89023614,1593,5.3624926,0.40437362,0,0,0.4261887,0,0,0.31044158,0,0,0.35486603,0,0,0.29265064,0,0,0.3205549,0,0,0.4385259,0,0,0.4700572,0,0,0.43958488,0,0,0.53690565,1457,4.409244,0.39457798,0,0,0.35568675,0,0,0.5051096,1363,3.9919374,0.35507783,0,0,0.36029333,0,0,0.30750293,0,0,0.41541353,0,0,0.2963306,0,0,0.7598221,902,2.8919964,0.7974161,1311,4.251979,0.72331357,872,2.8279681,0.21915704,0,0,0.26268137,0,0,0.21412687,0,0,0.3640792,0,0,0.35941967,0,0,0.98461825,3106,10.444595,0.7511649,859,2.7345245,0.7664672,1338,4.344182,0.54987824,1046,3.0506496,0.8772636,1891,5.896338,0.7126972,1898,5.732457,0.9987292,11998,37.77856
"LASCr2D2E2F_vRhyme_unbinned_97",0.21367858,0,0,0.63028425,187,1.2891833,0.09636927,0,0,0.068167746,0,0,0.08443569,0,0,0.036363635,0,0,0.004784689,0,0,0.06918097,0,0,0.085392624,0,0,0.1008725,0,0,0.007486631,0,0,0.016380524,0,0,0.012215029,0,0,0.006754855,0,0,0.1427526,0,0,0.05865466,0,0,0.013059386,0,0,0.026456516,0,0,0.3374613,0,0,0.16707008,0,0,0.14517309,0,0,0.947087,590,4.469126,0.9256403,439,3.2094607,0.78603995,311,2.2157679,0.7669012,328,2.1766634,0.7753448,272,1.859918,0.55429214,196,1.1800063,0.84576416,448,3.2188585,0.8027582,297,2.1861243,0.80450326,354,2.4775782,0.017450042,0,0,0.024148608,0,0,0.0079369545,0,0,0.9585139,709,5.347777,0.9992119,1174,9.112205,0.99893045,1374,10.608262,0.61390376,197,1.3473983,0.7889108,353,2.536739,0.4932733,0,0,0.33414015,0,0,0.57371235,182,1.2155787,0.40439066,0,0,0.5625668,172,1.0373384,0.45623416,0,0,0.6066986,234,1.5496058,0.39549676,0,0,0.20455952,0,0,0.28871375,0,0,0.11730932,0,0,0.024936674,0,0,0.009006473,0,0,0.10751478,0,0,0.33611032,0,0,0.61384743,217,1.3270892,0.23439348,0,0,0.08330988,0,0,0.33475935,0,0,0.16194765,0,0,0.12637208,0,0,0.937405,800,5.5113215
"MGr2D2E2F_vRhyme_unbinned_83",0.16481939,0,0,0.7142971,205,2.004483,0.24184674,0,0,0.0037477075,0,0,0.058288813,0,0,0.014512399,0,0,0.0035882306,0,0,0.0044653537,0,0,0.0039071846,0,0,0.09592537,0,0,0.0011960769,0,0,0.010365999,0,0,0.003827446,0,0,0.005103261,0,0,0.013236584,0,0,0.002950323,0,0,0.002790846,0,0,0.020492783,0,0,0.11306913,0,0,0.13555537,0,0,0.115222074,0,0,0.089546286,0,0,0.082927994,0,0,0.091380276,0,0,0.049198627,0,0,0.0012758153,0,0,0.055577707,0,0,0.08252931,0,0,0.07160514,0,0,0.8632485,253,2.5901551,0.002631369,0,0,0.0027111075,0,0,0,0,0,0.020173829,0,0,0.003986923,0,0,0.029901922,0,0,0.4358504,0,0,0.22023763,0,0,0.4261223,0,0,0.78630096,264,2.7477808,0.9730484,628,6.5879135,0.95263535,333,3.7558506,0.7886133,210,2.1577153,0.8642054,423,3.5205774,0.9944183,859,9.054873,0.054541104,0,0,0.10549398,0,0,0.1136273,0,0,0.1523802,0,0,0.0070169843,0,0,0.0024718922,0,0,0.017382983,0,0,0.005023523,0,0,0.055816922,0,0,0.0025516306,0,0,0.0063790767,0,0,0.016505862,0,0,0.05422215,0,0,0.020731999,0,0,0.91300535,448,4.485161
"SEr3G3H3I_vRhyme_unbinned_89",0.016466236,0,0,0.0015726179,0,0,0,0,0,0.0015726179,0,0,0.003052729,0,0,0.004347826,0,0,0.0031452358,0,0,0.0066604996,0,0,0.0031452358,0,0,0.020074006,0,0,0.004625347,0,0,0.0015726179,0,0,0.08510638,0,0,0.0036077707,0,0,0.054579094,0,0,0.012950972,0,0,0.0062904716,0,0,0.006197965,0,0,0.002867715,0,0,0.002867715,0,0,0.005087882,0,0,0.0015726179,0,0,0.089639224,0,0,0.003237743,0,0,0.0048103607,0,0,0.0048103607,0,0,0.003052729,0,0,0.001480111,0,0,0.003052729,0,0,0.0031452358,0,0,0.006012951,0,0,0.004625347,0,0,0.004440333,0,0,0.01026827,0,0,0.0063829785,0,0,0.0081406105,0,0,0.0053654024,0,0,0.001480111,0,0,0.0035152636,0,0,0,0,0,0.001480111,0,0,0.0015726179,0,0,0.0049028676,0,0,0.018408882,0,0,0.008603145,0,0,0.0031452358,0,0,0.007955597,0,0,0.007863089,0,0,0.001387604,0,0,0.0015726179,0,0,0.006012951,0,0,0.0049028676,0,0,0.007585569,0,0,0.012488437,0,0,0.2411656,0,0,0.5123959,86,0.9093183,0.004717854,0,0,0.6817761,180,1.9548676,0.8426457,230,2.630811,0.99916744,1008,11.56233
"LASCr2D2E2F_vRhyme_unbinned_81",0.1466365,0,0,0.062135585,0,0,0.8784266,230,2.632899,0.45357236,0,0,0.99939084,6298,71.60606,0.9919067,1485,16.927305,0.0013923941,0,0,0.06300583,0,0,0.007048995,0,0,0.65668786,156,1.6147742,0.9476982,600,6.6165376,0.9845096,750,8.795435,0.95770603,493,5.604487,0.5211035,97,0.9696287,0.89739794,293,3.1066916,0.9947785,1487,17.007936,0.99460447,1031,12.190164,0.9467409,546,6.142745,0.98433554,763,8.888508,0.9932991,1594,18.749388,0.99451745,1117,13.250906,0.015664432,0,0,0.10207989,0,0,0.85997736,252,2.8221807,0.6022974,120,1.2815715,0.9833783,513,5.998824,0.87581587,256,2.870383,0.021930207,0,0,0.04003133,0,0,0.11321904,0,0,0.9939083,1503,16.965319,0.8039335,201,2.1908493,0.9748499,414,4.9605174,0.044121485,0,0,0.9915586,599,7.059175,0.19467409,0,0,0.004177182,0,0,0.03515795,0,0,0.052127752,0,0,0.06483335,0,0,0.0073970933,0,0,0.0045252806,0,0,0.06405012,0,0,0.40196675,0,0,0.064224176,0,0,0.99007916,903,10.335848,0.9975633,1426,16.39032,0.9847707,757,8.79132,0.0043512313,0,0,0.079192415,0,0,0.036550343,0,0,0.8366548,191,2.2501225,0.2406231,0,0,0.52884865,88,0.8454982,0.77338785,194,2.1207995,0.9926899,1392,16.478594,0.99495256,3190,37.5604,0.81072146,222,2.3137064,0.6378905,194,1.9816792,0.42572448,0,0
"LASCr2D2E2F_vRhyme_bin_16",0.0053382907,0,0,0.0016543585,0,0,0.008800505,0,0,0.007964798,0,0,0.0041103135,0,0,0.003240496,0,0,0.0013644194,0,0,0.004860744,0,0,0.0024900653,0,0,0.0038715398,0,0,0.0008868726,0,0,0.002814115,0,0,0.004860744,0,0,0.0032234406,0,0,0.0024218443,0,0,0.73506385,1355,2.870174,0.6297648,725,1.5576274,0.29087716,0,0,0.0048266333,0,0,0.055514812,0,0,0.046373203,0,0,0.009278052,0,0,0.0067368206,0,0,0.0050995173,0,0,0.50517625,570,1.0960934,0.086180136,0,0,0.043934304,0,0,0.023450958,0,0,0.013183702,0,0,0.02430372,0,0,0.7042792,1303,2.6962914,0.5482237,634,1.1991962,0.49714324,0,0,0.72053283,834,1.7819089,0.9928709,4080,9.3193655,0.8884758,1423,3.1661873,0.28622106,0,0,0.34456706,0,0,0.3017584,0,0,0.05544659,0,0,0.017652176,0,0,0.016475365,0,0,0.008340013,0,0,0.030665325,0,0,0.012023945,0,0,0.009380383,0,0,0.02993195,0,0,0.033564717,0,0,0.0029505568,0,0,0.024747156,0,0,0.012706155,0,0,0.20358843,0,0,0.06724882,0,0,0.03549196,0,0,0.0029846674,0,0,0.003308717,0,0,0.0022854025,0,0,0.0038544848,0,0,0.00530418,0,0,0.03854485,0,0
"BAr3G3H3I_vRhyme_unbinned_17",0.012958963,0,0,0.008541135,0,0,0.0016689574,0,0,0.014529747,0,0,0.015806008,0,0,0.008541135,0,0,0.04457098,0,0,0,0,0,1,727,9.828648,0.013449833,0,0,0.0069703516,0,0,0.009719223,0,0,0.0065776557,0,0,0.03936776,0,0,0.244355,0,0,0.038778715,0,0,0.0065776557,0,0,0.017573139,0,0,0.009719223,0,0,0.0032397409,0,0,0.010013744,0,0,0.0032397409,0,0,0.007853917,0,0,0.0031415669,0,0,0.034851756,0,0,0.011682701,0,0,0.012860789,0,0,0.17170626,0,0,0.10563519,0,0,0.18191636,0,0,0.0062831338,0,0,0.010995484,0,0,0.004810524,0,0,0.04093854,0,0,0.08541135,0,0,0.004614176,0,0,0.0063813077,0,0,0.0066758296,0,0,0.0017671314,0,0,0.0036324367,0,0,0.0062831338,0,0,0.00471235,0,0,0.010210092,0,0,0.048596114,0,0,0.008050265,0,0,0.0062831338,0,0,0.005006872,0,0,0.009817396,0,0,0.0066758296,0,0,0.009915571,0,0,0.024936186,0,0,0.8851365,482,6.3283153,0.06538386,0,0,0.021500098,0,0,0.00471235,0,0,0.0031415669,0,0,0.004908698,0,0,0.0070685255,0,0,0.010111919,0,0,0.20469272,0,0
"MGr1A1B1C_vRhyme_unbinned_16",0.002260274,0,0,0,0,0,0,0,0,0,0,0,0.0011643836,0,0,0,0,0,0.0010273972,0,0,0.015273972,0,0,0.0020547945,0,0,0.0010273972,0,0,0.0014383561,0,0,0.0010273972,0,0,0,0,0,0.0020547945,0,0,0.0010958904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002260274,0,0,0.0010273972,0,0,0.0010273972,0,0,0,0,0,0.95719177,2239,19.147316,0.92232877,757,6.3441486,0.39267123,0,0,0.0010273972,0,0,0.0020547945,0,0,0.0010273972,0,0,0.002260274,0,0,0.0580137,0,0,0,0,0,0.0020547945,0,0,0.0026027397,0,0,0,0,0,0.9691781,663,5.7884054,0.8650685,382,3.316008,0.81726027,328,2.7747195,0.5750685,158,1.1861448,0.21054794,0,0,0.49321917,0,0,0.12547944,0,0,0.8069178,433,3.038982,0.15691781,0,0,0.002260274,0,0,0.0010273972,0,0,0.0021917808,0,0,0,0,0,0.0021232876,0,0,0,0,0,0.0010958904,0,0,0.0032191782,0,0,0.51732874,147,1.0898046,0.0010273972,0,0,0,0,0,0.002260274,0,0,0,0,0,0.0023287672,0,0,0.0056164386,0,0
"SEr3G3H3I_vRhyme_unbinned_69",0.604686,157,1.253189,0.057789844,0,0,0.36809772,0,0,0.0068576327,0,0,0.0073576686,0,0,0.005286092,0,0,0.0033573827,0,0,0.008429173,0,0,0.00564326,0,0,0.012929495,0,0,0.0045003216,0,0,0.005428959,0,0,0.017786985,0,0,0.015358239,0,0,0.007214801,0,0,0.008500607,0,0,0.0021430103,0,0,0.0025001785,0,0,0.021430101,0,0,0.003285949,0,0,0.025501821,0,0,0.16086863,0,0,0.08636331,0,0,0.31337953,0,0,0.037216943,0,0,0.004571755,0,0,0.0057861274,0,0,0.005000357,0,0,0.0062861633,0,0,0.0025001785,0,0,0.0057861274,0,0,0.005214658,0,0,0.005928995,0,0,0.0033573827,0,0,0.0012143725,0,0,0.005928995,0,0,0.0035716838,0,0,0.006143296,0,0,0.0069290665,0,0,0.0051432247,0,0,0.071790844,0,0,0.0032145153,0,0,0.0060004285,0,0,0.029144939,0,0,0.026716193,0,0,0.00564326,0,0,0.0037859848,0,0,0.008429173,0,0,0.0047146226,0,0,0.005500393,0,0,0.0011429387,0,0,0.0038574184,0,0,0.0034288163,0,0,0.0022144439,0,0,0.0034288163,0,0,0.07836274,0,0,0.04936067,0,0,0.0025001785,0,0,0.0036431174,0,0,0.9995714,2633,21.573847
"MGr1A1B1C_vRhyme_unbinned_7",0.0019540126,0,0,0.0022493866,0,0,0.0011360538,0,0,0.005952922,0,0,0.006043806,0,0,0.006589112,0,0,0.0014541489,0,0,0.0049077524,0,0,0.007929656,0,0,0.0043397257,0,0,0.0049077524,0,0,0.004476052,0,0,0.013200945,0,0,0.004725984,0,0,0.0061346907,0,0,0.009338362,0,0,0.0064073433,0,0,0.0073389076,0,0,0.0040216306,0,0,0.022130327,0,0,0.017404344,0,0,0.0037489776,0,0,0.005134963,0,0,0.006929928,0,0,0.0059074797,0,0,0.005771153,0,0,0.003976188,0,0,0.5127465,3030,8.231888,0.51647276,3341,9.561455,0.32409343,0,0,0.004680542,0,0,0.0048168683,0,0,0.003021903,0,0,0.022993729,0,0,0.008202309,0,0,0.0044533308,0,0,0.9999773,13150,40.736168,0.025379442,0,0,0.12351177,0,0,0.17954195,0,0,0.004180678,0,0,0.01690448,0,0,0.0063391803,0,0,0.04201127,0,0,0.005680269,0,0,0.004271562,0,0,0.010633464,0,0,0.0045214943,0,0,0.0018631283,0,0,0.0072934655,0,0,0.0050668,0,0,0.0024993184,0,0,0.004476052,0,0,0.0066799964,0,0,0.0073843496,0,0,0.003567209,0,0,0.0070662545,0,0,0.008315913,0,0,0.0044987733,0,0,0.38666728,0,0
