,Virus,Virus Sample,Host genome,Host Sample,Host Domain,Host Phylum,Host Class,Host Order,Host Family,Host Genus,Confidence score,Main method,Additional methods
0,BAr1A1B1C_vRhyme_bin_10,BAr1A1B1C,GB_GCA_003151335.1,iPHoP_db,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Koribacteraceae,Bog-257,94.6,blast,iPHoP-RF;74.30
1,BAr1A1B1C_vRhyme_bin_10,BAr1A1B1C,GB_GCA_003160215.1,iPHoP_db,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Koribacteraceae,Bog-257,93.0,blast,None
2,BAr1A1B1C_vRhyme_bin_10,BAr1A1B1C,GB_GCA_003152695.1,iPHoP_db,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Koribacteraceae,Bog-257,92.8,blast,iPHoP-RF;55.40
3,BAr1A1B1C_vRhyme_bin_10,BAr1A1B1C,GB_GCA_003135475.1,iPHoP_db,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Koribacteraceae,Bog-257,91.2,blast,iPHoP-RF;69.50
4,BAr1A1B1C_vRhyme_bin_10,BAr1A1B1C,MGr1A1B1C__bin_140,MGr1A1B1C,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Koribacteraceae,Bog-257,90.0,blast,None
5,BAr1A1B1C_vRhyme_bin_13,BAr1A1B1C,GB_GCA_020073215.1,iPHoP_db,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,93.3,blast,None
6,BAr1A1B1C_vRhyme_bin_13,BAr1A1B1C,BOr3G3H3I__bin_85,BOr3G3H3I,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Sulfotelmatobacter,91.0,blast,None
7,BAr1A1B1C_vRhyme_bin_13,BAr1A1B1C,LASAr3G3H3I__bin_54,LASAr3G3H3I,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Sulfotelmatobacter,90.3,blast,None
8,BAr1A1B1C_vRhyme_bin_15,BAr1A1B1C,BOr2D2E2F__bin_30,BOr2D2E2F,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Palsa-744,91.7,blast,None
9,BAr1A1B1C_vRhyme_bin_2,BAr1A1B1C,GB_GCA_003165005.1,iPHoP_db,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus,92.1,blast,None
10,BAr1A1B1C_vRhyme_bin_2,BAr1A1B1C,SEr2D2E2F__bin_158,SEr2D2E2F,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus,91.0,blast,None
11,BAr1A1B1C_vRhyme_bin_21,BAr1A1B1C,BAr1A1B1C__bin_78,BAr1A1B1C,Bacteria,Desulfobacterota,Syntrophobacteria,Syntrophobacterales,Syntrophobacteraceae,SbD1,93.9,blast,None
12,BAr1A1B1C_vRhyme_bin_21,BAr1A1B1C,MHr3G3H3I__bin_37,MHr3G3H3I,Bacteria,Desulfobacterota,Syntrophobacteria,Syntrophobacterales,Syntrophobacteraceae,SbD1,93.9,blast,None
13,BAr1A1B1C_vRhyme_bin_21,BAr1A1B1C,CRr2D2E2F__bin_94,CRr2D2E2F,Bacteria,Desulfobacterota,Syntrophobacteria,Syntrophobacterales,Syntrophobacteraceae,SbD1,93.4,blast,None
14,BAr1A1B1C_vRhyme_bin_21,BAr1A1B1C,MHr1A1B1C__bin_43,MHr1A1B1C,Bacteria,Desulfobacterota,Syntrophobacteria,Syntrophobacterales,Syntrophobacteraceae,SbD1,92.9,blast,None
15,BAr1A1B1C_vRhyme_bin_21,BAr1A1B1C,BOr1A1B1C__bin_60,BOr1A1B1C,Bacteria,Desulfobacterota,Syntrophobacteria,Syntrophobacterales,Syntrophobacteraceae,SbD1,91.9,blast,None
16,BAr1A1B1C_vRhyme_bin_21,BAr1A1B1C,BOr2D2E2F__bin_46,BOr2D2E2F,Bacteria,Desulfobacterota,Syntrophobacteria,Syntrophobacterales,Syntrophobacteraceae,SbD1,91.9,blast,None
17,BAr1A1B1C_vRhyme_bin_21,BAr1A1B1C,SEr2D2E2F__bin_135,SEr2D2E2F,Bacteria,Desulfobacterota,Syntrophobacteria,Syntrophobacterales,Syntrophobacteraceae,SbD1,91.9,blast,None
18,BAr1A1B1C_vRhyme_bin_21,BAr1A1B1C,SEr3G3H3I__bin_174,SEr3G3H3I,Bacteria,Desulfobacterota,Syntrophobacteria,Syntrophobacterales,Syntrophobacteraceae,SbD1,91.9,blast,None
19,BAr1A1B1C_vRhyme_bin_21,BAr1A1B1C,GB_GCA_003165235.1,iPHoP_db,Bacteria,Desulfobacterota,Syntrophobacteria,Syntrophobacterales,Syntrophobacteraceae,SbD1,90.5,blast,None
20,BAr1A1B1C_vRhyme_bin_24,BAr1A1B1C,GB_GCA_903925075.1,iPHoP_db,Bacteria,Desulfobacterota_F,Desulfuromonadia,Geobacterales,Geobacteraceae,Geomonas,93.1,blast,None
21,BAr1A1B1C_vRhyme_bin_24,BAr1A1B1C,GB_GCA_003225555.1,iPHoP_db,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Sulfotelmatobacter,92.4,iPHoP-RF,None
22,BAr1A1B1C_vRhyme_bin_24,BAr1A1B1C,GB_GCA_020073465.1,iPHoP_db,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Sulfotelmatobacter,91.1,iPHoP-RF,None
23,BAr1A1B1C_vRhyme_bin_27,BAr1A1B1C,GB_GCA_003244015.1,iPHoP_db,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocella,97.1,iPHoP-RF,None
24,BAr1A1B1C_vRhyme_bin_27,BAr1A1B1C,GB_GCA_004564215.1,iPHoP_db,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocella,97.1,iPHoP-RF,None
25,BAr1A1B1C_vRhyme_bin_27,BAr1A1B1C,GB_GCA_002890675.1,iPHoP_db,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocella,96.4,iPHoP-RF,None
26,BAr1A1B1C_vRhyme_bin_28,BAr1A1B1C,BAr1A1B1C__bin_103,BAr1A1B1C,Bacteria,Eremiobacterota,Eremiobacteria,Baltobacterales,Baltobacteraceae,,94.6,CRISPR,None
27,BAr1A1B1C_vRhyme_bin_3,BAr1A1B1C,CRr3G3H3I__bin_62,CRr3G3H3I,Bacteria,Planctomycetota,Planctomycetia,Isosphaerales,Isosphaeraceae,,93.9,blast,iPHoP-RF;63.80
28,BAr1A1B1C_vRhyme_bin_3,BAr1A1B1C,CRr1A1B1C__bin_11,CRr1A1B1C,Bacteria,Planctomycetota,Planctomycetia,Isosphaerales,Isosphaeraceae,,93.5,blast,iPHoP-RF;66.00
29,BAr1A1B1C_vRhyme_bin_3,BAr1A1B1C,LAWAr2D2E2F__bin_38,LAWAr2D2E2F,Bacteria,Planctomycetota,Planctomycetia,Isosphaerales,Isosphaeraceae,,93.0,blast,iPHoP-RF;65.30
30,BAr1A1B1C_vRhyme_bin_3,BAr1A1B1C,MHr1A1B1C__bin_120,MHr1A1B1C,Bacteria,Planctomycetota,Planctomycetia,Isosphaerales,Isosphaeraceae,,92.9,blast,iPHoP-RF;68.00
31,BAr1A1B1C_vRhyme_bin_5,BAr1A1B1C,SEr3G3H3I__bin_173,SEr3G3H3I,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,JAKAAZ01,91.4,blast,iPHoP-RF;63.50
32,BAr1A1B1C_vRhyme_bin_7,BAr1A1B1C,CRr1A1B1C__bin_50,CRr1A1B1C,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Bog-375,94.8,blast,None
33,BAr1A1B1C_vRhyme_unbinned_1,BAr1A1B1C,BOr1A1B1C__bin_78,BOr1A1B1C,Bacteria,Desulfobacterota_B,Binatia,Binatales,Binataceae,Binatus,96.2,blast,iPHoP-RF;58.70
34,BAr1A1B1C_vRhyme_unbinned_1,BAr1A1B1C,SEr2D2E2F__bin_85,SEr2D2E2F,Bacteria,Desulfobacterota_B,Binatia,Binatales,Binataceae,Binatus,96.2,blast,iPHoP-RF;66.50
35,BAr1A1B1C_vRhyme_unbinned_1,BAr1A1B1C,SEr3G3H3I__bin_121,SEr3G3H3I,Bacteria,Desulfobacterota_B,Binatia,Binatales,Binataceae,Binatus,96.2,blast,iPHoP-RF;67.30
36,BAr1A1B1C_vRhyme_unbinned_1,BAr1A1B1C,GB_GCA_003135135.1,iPHoP_db,Bacteria,Desulfobacterota_B,Binatia,Binatales,Binataceae,Binatus,94.2,blast,iPHoP-RF;64.00
37,BAr1A1B1C_vRhyme_unbinned_1,BAr1A1B1C,BOr2D2E2F__bin_44,BOr2D2E2F,Bacteria,Desulfobacterota_B,Binatia,Binatales,Binataceae,Binatus,93.0,blast,None
38,BAr1A1B1C_vRhyme_unbinned_1,BAr1A1B1C,LASCr2D2E2F__bin_131,LASCr2D2E2F,Bacteria,Desulfobacterota_B,Binatia,Binatales,Binataceae,Binatus,92.5,blast,None
39,BAr1A1B1C_vRhyme_unbinned_1,BAr1A1B1C,GB_GCA_002479255.1,iPHoP_db,Bacteria,Desulfobacterota_B,Binatia,Binatales,Binataceae,Binatus,90.3,blast,iPHoP-RF;56.00
40,BAr1A1B1C_vRhyme_unbinned_10,BAr1A1B1C,CRr2D2E2F__bin_117,CRr2D2E2F,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhodomicrobiaceae,Rhodomicrobium,92.0,blast,iPHoP-RF;86.70
41,BAr1A1B1C_vRhyme_unbinned_10,BAr1A1B1C,MHr3G3H3I__bin_105,MHr3G3H3I,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhodomicrobiaceae,Rhodomicrobium,91.7,blast,iPHoP-RF;91.40
42,BAr1A1B1C_vRhyme_unbinned_14,BAr1A1B1C,CRr3G3H3I__bin_47,CRr3G3H3I,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,BOG-931,92.9,blast,None
43,BAr1A1B1C_vRhyme_unbinned_14,BAr1A1B1C,MGr3G3H3I__bin_78,MGr3G3H3I,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,,90.3,blast,None
44,BAr1A1B1C_vRhyme_unbinned_16,BAr1A1B1C,MHr1A1B1C__bin_78,MHr1A1B1C,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocella,93.1,blast,None
45,BAr1A1B1C_vRhyme_unbinned_17,BAr1A1B1C,BAr2D2E2F__bin_42,BAr2D2E2F,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Palsa-465,94.9,blast,iPHoP-RF;84.50
46,BAr1A1B1C_vRhyme_unbinned_22,BAr1A1B1C,BOr2D2E2F__bin_33,BOr2D2E2F,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,93.7,blast,iPHoP-RF;69.80
47,BAr1A1B1C_vRhyme_unbinned_22,BAr1A1B1C,CRr1A1B1C__bin_118,CRr1A1B1C,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,92.6,blast,iPHoP-RF;70.00
